관리기관명,경로당명,소재지,연락처,위도,경도
서구,구덕골경로당,"부산광역시 서구 보수대로230번길 17,102호(동대신동3가)",051-253-6441,35.11556199,129.0195061
서구,산월경로당,부산광역시 서구 해돋이로 381(서대신동1가),051-253-4371,35.10632319,129.0123414
서구,상록고운경로당,부산광역시 서구 구덕로285번길 30-5(서대신동1가),051-241-1008,35.10913422,129.0164078
서구,서대2경로당,부산광역시 서구 대티로 129-5(서대신동2가),051-253-4075,35.11075581,129.009485
서구,서대경로당,부산광역시 서구 구덕로305번길 4-23(서대신동2가),051-243-6505,35.11146714,129.0157014
서구,구덕경로당,부산광역시 서구 대신로 13-3 (서대신동3가),051-242-8656,35.11286905,129.0117077
서구,구덕부녀경로당,부산광역시 서구 대신로 13-4,051-244-7873,35.1129092,129.0118567
서구,구덕자유아파트경로당,"부산광역시 서구 망양로33번길 27(서대신동3가,구덕자유아파트)",051-254-7954,35.11378127,129.0124484
서구,협성아파트경로당,"부산광역시 서구 대티로143번길 4 (서대신동3가,협성아파트)",051-245-1585,35.11208721,129.0103868
서구,대신롯데캐슬아파트경로당,"부산광역시 서구 대티로 161(서대신동3가,대신롯데캐슬아파트)",051-244-9003,35.11666873,129.010293
서구,수원경로당,부산광역시 서구 꽃마을로 72-6 (서대신동3가),051-248-5980,35.12047003,129.0106324
서구,꽃마을경로당,부산광역시 서구 꽃마을로163번길 7(서대신동3가),051-243-4852,35.12735537,129.0068386
서구,남성한빛아파트경로당,"부산광역시 서구 꽃마을로 43 (서대신동3가, 남성한빛아파트)",051-975-2845,35.11754115,129.0113092
서구,한마음경로당,부산광역시 서구 꽃마을로 65번길10-3 (서대신동3가),051-244-6777,35.1198327,129.0102638
서구,꽃마을부녀경로당,부산광역시 서구 꽃마을로163번길 7 (서대신동3가),051-243-4852,35.12735537,129.0068386
서구,금호어울림아파트경로당,"부산광역시 서구 꽃마을로57번길 21-3, 101동 102호 (서대신동3가,금호어울림아파트)",051-923-9003,35.11909154,129.0102604
서구,한신휴경로당,부산광역시 서구 보수대로284 (서대신동4가),051-231-4266,35.11990777,129.0130648
서구,유진대림아파트경로당,부산광역시 서구 보수대로320번길11,051-254-6023,35.12069038,129.0120377
서구,대신더샵경로당,"부산광역시 서구 꽃마을로 48(서대신동3가, 대신 더샵)",051-257-2100,35.11837833,129.0121998
서구,부용경로당,부산광역시 서구 부용로38번길 26-12(부용동2가),051-247-2340,35.10673328,129.0183854
서구,부민경로당,부산광역시 서구 해돋이로 323(부민동3가),051-257-1385,35.10498402,129.0168151
서구,부민e-편한세상경로당,"부산광역시 서구 해돋이로 313(부민동3가,부민이편한세상)",051-992-0202,35.1043131,129.016549
서구,아미1동경로당,부산광역시 서구 구덕로185번길 28,051-247-3867,35.10136676,129.0182831
서구,2.8부녀경로당,부산광역시 서구 옥천로 141-1,051-247-3859,35.09826419,129.0113499
서구,아산경로당,부산광역시 서구 까치고개로 123-3,051-244-6451,35.10236975,129.0109114
서구,아미경로당,부산광역시 서구 까치고개로 158-1,051-247-0277,35.10009451,129.0133832
서구,천아경로당,부산광역시 서구 아미로 19-1,051-256-5427,35.09876115,129.0119494
서구,천부경로당,부산광역시 서구 옥천로164번길 36,051-243-7366,35.09879776,129.0117636
서구,어르신쉼터경로당,부산광역시 서구 해돋이로239번길 11-1,051-253-8528,35.09773523,129.0164999
서구,덕이경로당,부산광역시 서구 천마산로 416,051-231-3326,35.09842107,129.0145738
서구,송이경로당,부산광역시 서구 천마산로 416,051-231-3325,35.09842107,129.0145738
서구,초향경로당,부산광역시 서구 해돋이로 182(초장동),051-248-8255,35.09342586,129.0184718
서구,초장할머니경로당,부산광역시 서구 초장로8번길 38-116 (초장동),051-248-2155,35.09295393,129.019807
서구,충무경로당,부산광역시 서구 새벽시장길 5,051-241-0532,35.09602193,129.0250816
서구,산해경로당,부산광역시 서구 천마로205번길 53-1(충무동2가),051-254-9837,35.09589657,129.0218489
서구,산해할머니경로당,부산광역시 서구 천마로205번길 53-1(충무동2가),051-246-5098,35.09589657,129.0218489
서구,신창경로당,부산광역시 서구 자갈치로 14-11(충무동1가),051-256-5606,35.09594124,129.0261031
서구,남부경로당(하),부산광역시 서구 충무대로256번길 2 (남부민동),051-254-7761,35.09327947,129.0240837
서구,천마경로당,부산광역시 서구 해돋이로 156(남부민동),051-247-3657,35.09168355,129.0199365
서구,남일경로당,부산광역시 서구 천마로 176(남부민동),051-242-6613,35.09132016,129.0228993
서구,부암경로당,부산광역시 서구 천해로34번길 1(남부민동),051-241-1898,35.0843914,129.0158647
서구,상조경로당,부산광역시 서구 해돋이로 55(남부민동),051-255-9998,35.08432179,129.0193052
서구,남부경로당(상),부산광역시 서구해돋이로99번길3(남부민동),051-254-5216,35.08752543,129.0216385
서구,천우경로당,부산광역시 서구 천마로 115(남부민동),051-255-0888,35.08616055,129.0226352
서구,남성경로당,부산광역시 서구 천마로 116-1(남부민동),051-256-4364,35.0861718,129.022863
서구,동심부녀경로당,부산광역시 서구 충무대로 159-19(남부민동),051-244-2253,35.08462789,129.0244183
서구,등대경로당,부산광역시 서구 등대로 109(남부민동),051-253-5074,35.0853461,129.0264421
서구,대림비치아파트경로당,"부산광역시 서구 충무대로 133 (남부민동,대림비치아파트)",051-243-5414,35.0822588,129.0246437
서구,남산경로당,부산광역시 서구 충무대로145번길 16(남부민동),051-253-8331,35.08306911,129.024586
서구,대진경로당,"부산광역시 서구 충무대로 185 (남부민동,대진타워)",051-242-9457,35.08717915,129.02412
서구,남부민풀리페아파트경로당,"부산광역시 서구 해돋이로 23 (남부민동,풀리페아파트 101동)",051-248-6660,35.08258529,129.0183702
서구,송암노모경로당,부산광역시 서구 충무대로 38(안남동),051-241-2073,35.07869804,129.0169412
서구,모지포경로당,부산광역시 서구 암남공원로 230-1(안남동),051-253-3727,35.06389187,129.0146554
서구,천암경로당,부산광역시 서구 천해로39번길 3-1(안남동),051-254-2174,35.08396704,129.0152305
서구,사랑쉼표,"부산광역시 서구 천마로 25, 2층",051-256-9988,35.08052572,129.0202213
서구,정림경로당,"부산광역시 서구 감천로 271 (암남동,송도정림비치타운)",051-244-3322,35.08161909,129.0171062
서구,송도자유비치경로당,"부산광역시 서구 천해로7번길 33(암남동,송도자유비치)",051-257-2914,35.0818186,129.0188497
서구,풍림아이원경로당,"부산광역시 서구 암남공원로 39 (암남동,풍림아이원)",,35.07251953,129.0162161
서구,청송경로당,부산광역시 서구 천해로39번길 3-1(암남동),051-257-2945,35.08396704,129.0152305
서구,송도동일스위트,부산광역시 서구 성산길 47-17(송도동일스위트아파트),051-241-0559,35.08037487,129.0119572
동구,초강경로당,부산광역시 동구 초량상로35번길 18(초량동),051-468-2029,35.11560951,129.0357684
동구,초강부녀경로당,부산광역시 동구 초량상로35번길 18(초량동),070-8930-5915,35.11560951,129.0357684
동구,초일경로당,부산광역시 동구 망양로478번길 16,051-467-7668,35.11712958,129.0346593
동구,초일부녀경로당,부산광역시 동구 망양로478번길 16,051-467-7668,35.11712958,129.0346593
동구,우국경로당,부산광역시 동구 초량로60번길 12,051-468-4291,35.12007558,129.0366776
동구,우국부녀경로당,부산광역시 동구 초량로60번길 12,051-468-4291,35.12007558,129.0366776
동구,화신경로당,"부산광역시 동구 망양로 516-4(초량동, 초량화신아파트)",051-467-8915,35.11853464,129.032165
동구,일팔경로당,부산광역시 동구 영초길211번길 13,051-464-1788,35.11798582,129.0351885
동구,새마을경로당,부산광역시 동구 초량남로 32,051-461-0547,35.1193634,129.032856
동구,초삼경로당,부산광역시 동구 홍곡로23번길 5,051-468-5488,35.12235311,129.0387082
동구,초삼부녀경로당,부산광역시 동구 홍곡로23번길 5,051-468-5488,35.12235311,129.0387082
동구,초량동원경로당,부산광역시 동구 중앙대로 286번길 10,051-441-1199,35.1213978,129.0447341
동구,연화경로당,부산광역시 동구 초량남로 51-8,051-468-1877,35.11896099,129.0304878
동구,선화경로당,부산광역시 동구 초량로80번길 32,051-464-4102,35.12152077,129.0347583
동구,선화부녀경로당,부산광역시 동구 초량로80번길 32,051-464-4101,35.12152077,129.0347583
동구,정화경로당,부산광역시 동구 구봉중길5번길 2,051-468-8807,35.12612505,129.0342155
동구,구봉경로당,부산광역시 동구 망양로610번길 57,051-462-2673,35.12266965,129.0366208
동구,고관경로당,부산광역시 동구 홍곡로 80-3,051-467-4460,35.12549498,129.0433231
동구,고관부녀경로당,부산광역시 동구 홍곡로 80-3,051-467-4460,35.12549498,129.0433231
동구,아르미나경로당,부산광역시 동구 홍곡남로 50,051-467-1844,35.12565568,129.0375752
동구,조양경로당,부산광역시 동구 구청로 16 (수정동),051-468-3207,35.128358,129.045045
동구,수운경로당,부산광역시 동구 망양로737번길 11,051-468-3332,35.12987013,129.0401217
동구,만리경로당,부산광역시 동구 수정공원로 71-8,051-467-2662,35.13257724,129.0390617
동구,망양경로당,부산광역시 동구 수정서로 20-1,051-467-5767,35.13098357,129.0430119
동구,망양부녀경로당,부산광역시 동구 수정서로 20-1,051-468-9774,35.13098357,129.0430119
동구,남성경로당,부산광역시 동구 수정공원로 5(수정동),051-468-1246,35.12821542,129.0412228
동구,수정4동경로당,부산광역시 동구 수정공원남로 40,051-441-2566,35.12735653,129.0388029
동구,외솔경로당,부산광역시 동구 수정남로 9-16,051-465-5353,35.1266369,129.0438757
동구,외솔부녀경로당,부산광역시 동구 수정남로 9-16,051-465-5353,35.1266369,129.0438757
동구,수정경로당,부산광역시 동구 수정중로37번가길 4,051-468-2518,35.1322828,129.044859
동구,수정부녀경로당,부산광역시 동구 수정중로37번가길 4,051-466-5385,35.1322828,129.044859
동구,수오경로당,부산광역시 동구 망양로795번길 28,051-468-7575,35.13442708,129.0412502
동구,수오부녀경로당,부산광역시 동구 망양로795번길 28,051-441-4987,35.13442708,129.0412502
동구,수동경로당,부산광역시 동구 수정공원북로 13,051-468-2677,35.13741092,129.0462081
동구,수동부녀경로당,부산광역시 동구 수정공원북로 13,051-441-0898,35.13741092,129.0462081
동구,좌일경로당,부산광역시 동구 정공단로21번가길 23,051-645-8913,35.13604367,129.0539609
동구,좌일부녀경로당,부산광역시 동구 정공단로21번가길 23,051-645-8913,35.13604367,129.0539609
동구,쉼터경로당,부산광역시 동구 고관로153번길 8-4,051-647-7723,35.13143714,129.0499413
동구,좌이경로당,부산광역시 동구 증산로 51,051-644-7523,35.13300309,129.0499361
동구,동원영가정경로당,부산광역시 동구 고관로 173,051-634-1481,35.13256931,129.0513553
동구,동원가람정경로당,부산광역시 동구 고관로 173,051-634-1479,35.13256931,129.0513553
동구,능풍장경로당,부산광역시 동구 능풍길 8,051-646-1033,35.13211628,129.0472434
동구,능풍장부녀경로당,부산광역시 동구 능풍길 8,051-646-1007,35.13211628,129.0472434
동구,성북경로당,부산광역시 동구 성북로22번길 17,051-634-3796,35.13625199,129.0501966
동구,좌사경로당,부산광역시 동구 성북로55번길 22,051-631-3023,35.13811147,129.0481446
동구,학원경로당,부산광역시 동구 성북로55번길 22,051-645-1793,35.13811147,129.0481446
동구,동심경로당,부산광역시 동구 증산로8번길 9,051-642-6057,35.13473106,129.0464834
동구,좌수경로당,부산광역시 동구 증산로8번길 9,051-646-8929,35.13473106,129.0464834
동구,널박경로당,부산광역시 동구 범곡로33번가길 11,051-646-2311,35.13996591,129.0553843
동구,한성기린경로당,"부산광역시 동구 중앙대로 514, 6층 617호",051-645-6362,35.13897719,129.0569486
동구,범일경로당,부산광역시 동구 증산동로 74-1,051-647-2397,35.13785435,129.0536761
동구,증산경로당,부산광역시 동구 증산로 153-8,051-631-6640,35.13943839,129.0526035
동구,증산부녀경로당,부산광역시 동구 증산로 153-8,051-631-8063,35.13943839,129.0526035
동구,호천경로당,부산광역시 동구 범곡로 46,051-644-8123,35.14111351,129.0539523
동구,호천부녀경로당,부산광역시 동구 범곡로 46,051-635-3915,35.14111351,129.0539523
동구,삼상경로당,부산광역시 동구 성북로 58-1,051-636-9272,35.13864032,129.048446
동구,삼상부녀경로당,부산광역시 동구 성북로 58-1,051-635-8204,35.13864032,129.048446
동구,범사경로당,부산광역시 동구 범내남로 27-1,051-631-2939,35.14183121,129.0496264
동구,범사부녀경로당,부산광역시 동구 범내남로 27-1,051-631-1270,35.14183121,129.0496264
동구,범성경로당,부산광역시 동구 안창로 57,051-645-4932,35.14563025,129.0424297
동구,범이경로당,부산광역시 동구 범일로89번길 46,051-646-2010,35.13966819,129.0588161
동구,범이부녀경로당,부산광역시 동구 범일로89번길 46,051-646-2010,35.13966819,129.0588161
동구,자성대경로당,부산광역시 동구 자성로75번길 30-8,051-631-7628,35.13605574,129.0605361
동구,동천경로당,부산광역시 동구 자성로140번길 31,051-647-6717,35.13547726,129.0651415
동구,두산포세이돈경로당,부산광역시 동구 자성로116번길 2,051-646-6657,35.13623118,129.0634594
동구,두산포세이돈부녀경로당,부산광역시 동구 자성로116번길 2,051-646-6657,35.13623118,129.0634594
동구,항덕경로당,부산광역시 동구 성남로33번길 14-1,051-631-0756,35.12968404,129.0536157
동구,항덕부녀경로당,부산광역시 동구 성남로33번길 14-8,051-645-2246,35.12977385,129.0536448
동구,수남경로당,부산광역시 동구 충장대로289번길 17,051-646-4574,35.12698511,129.0518302
동구,수남부녀경로당,부산광역시 동구 충장대로289번길 17,051-645-8226,35.12698511,129.0518302
동구,오션브릿지경로당,"부산광역시 동구 범일로 41 (범일동, 오션브릿지)",051-647-7531,35.13344929,129.0590792
동구,좌천서린엘마르더뷰,부산광역시 동구 망양로 850,,35.13584114,129.0473998
동구,마제스타워경로당,"부산광역시 동구 자성로133번길 6(범일동, 진흥 마제스타워 범일)",051-632-6763,35.13737654,129.0655701
영도구,대교경로당,부산광역시 영도구 태종로 97-6(대교동2가),051-413-7049,35.09179621,129.0417775
영도구,대평경로당,부산광역시 영도구 대평로27번길 8-8(대평동1가),051-416-1892,35.09123982,129.0339414
영도구,대동대교경로당,부산광역시 영도구 대평로6번길 17 (대평동 1가),051-415-0712,35.09106371,129.0367651
영도구,남항경로당,부산광역시 영도구 남항남로 36(남항동3가),051-416-8341,35.08439189,129.0377501
영도구,신남항경로당,부산광역시 영도구 남항서로82번길 59-5(남항동2가),051-418-0102,35.08692112,129.0386668
영도구,아이존빌경로당,"부산광역시 영도구 영선대로 98(영선동2가, 아이존빌아파트경로당)",051-413-1130,35.08834005,129.0431661
영도구,영선2동경로당,부산광역시 영도구 작은시장2길 38(영선동4가),051-417-1532,35.08400353,129.0405863
영도구,이송도경로당,부산광역시 영도구 향토길 12(영선동4가),051-416-1663,35.07844258,129.0460275
영도구,대원아파트경로당,"부산광역시 영도구 남항새싹길79 (영선동4가, 영도대원아파트)",051-416-6181,35.08232742,129.0440693
영도구,영선반도보라경로당,"부산광역시 영도구 해안산책길 30(영선동4가, 영선동반도보라아파트)",051-983-8800,35.0824525,129.040432
영도구,산정경로당,부산광역시 영도구 중복4길 68(신선동1가),051-418-8488,35.08877286,129.0490345
영도구,기로경로당,부산광역시 영도구 영봉길 106(신선동1가),051-418-6690,35.09090859,129.045447
영도구,신선경로당,부산광역시 영도구 하나길 542(신선동2가),051-418-0880,35.08743475,129.0467443
영도구,영로경로당,부산광역시 영도구 하나길 333(신선동3가),051-412-6522,35.08380869,129.0453026
영도구,애향경로당,부산광역시 영도구 개나리길 26(신선동3가),051-412-8034,35.08595194,129.0431447
영도구,복지경로당,부산광역시 영도구 산정길138 (신선동3가),051-417-7016,35.0812154,129.0475116
영도구,영광아파트경로당,"부산광역시 영도구 중복길 270 (신선동2가, 영광그린파크)",051-414-7197,35.08403275,129.0470098
영도구,봉친경로당,부산광역시 영도구 절영로7번길 13-3(봉래동2가),051-415-3547,35.09342829,129.0412018
영도구,미광마린경로당,"부산광역시 영도구 대교로14번길 17(봉래동2가, 미광마린타워)",051-416-3910,35.09457362,129.0433073
영도구,봉래1동경로당,부산광역시 영도구 대교로14번길 4-25(봉래동3가),051-413-3145,35.0935147,129.0440578
영도구,봉래3동경로당,"부산광역시 영도구 영봉길 182, 봉래아파트 A동",051-412-1854,35.09189723,129.0455452
영도구,유림아파트경로당,"부산광역시 영도구 봉래길 94(봉래동4가, 영도유림아파트)",051-418-1022,35.09108868,129.0510549
영도구,새마을경로당,부산광역시 영도구 봉래길 112(봉래동5가),051-417-0040,35.09165933,129.0517616
영도구,봉래동경로당,"부산광역시 영도구 하나길 753 (봉래동5가, 한진아파트)",051-417-1927,35.09446155,129.0532606
영도구,청학1동경로당,부산광역시 영도구 해양로 48-1(청학동),051-418-3962,35.09734173,129.060496
영도구,봉학경로당,부산광역시 영도구 청학서로16번길 55(청학동),051-413-8271,35.09375954,129.058589
영도구,건곤경로당,부산광역시 영도구 태종로292번길 72(청학동),051-417-0599,35.09597086,129.0556618
영도구,해돋이경로당,부산광역시 영도구 해돋이3길 404 (청학동),051-416-8326,35.08950766,129.0558481
영도구,청송경로당,부산광역시 영도구 청학서로45번길 22(청학동),051-417-2993,35.09535573,129.055725
영도구,신도브래뉴경로당,"부산광역시 영도구 태종로 260 (청학동, 신도브래뉴)",051-412-4935,35.09800566,129.0563499
영도구,산복경로당,부산광역시 영도구 와치로27번길 16 (청학동),051-416-8356,35.0896169,129.059462
영도구,일산봉경로당,부산광역시 영도구 일산봉로 35-7(청학동),051-416-3625,35.08490501,129.0649401
영도구,학수경로당,부산광역시 영도구 청학동로 32-6(청학동),051-416-0864,35.09011286,129.0626969
영도구,화신경로당,"부산광역시 영도구 태종로 358번길 3 (청학동, 청학화신아파트)",051-413-4588,35.0934654,129.0627499
영도구,학성경로당,부산광역시 영도구 청학로 19(청학동),051-415-2550,35.09164758,129.0612335
영도구,조내기경로당,부산광역시 영도구 벚꽃길5번길 13(청학동),051-413-8298,35.08625445,129.0585228
영도구,청로경로당,부산광역시 영도구 청학남로64번길 10-4(청학동),051-417-8688,35.08858892,129.0640772
영도구,인애경로당,부산광역시 영도구 태종로 340 (청학동),051-412-2301,35.09543109,129.0621901
영도구,청이칠경로당,부산광역시 영도구 청학남로59번길 17(청학동),051-415-2383,35.08964229,129.0639879
영도구,일신마리나아파트경로당,"부산광역시 영도구 조내기로 33(청학동, 일신마리나타운)",051-413-0068,35.08690666,129.0630368
영도구,한라아파트경로당,"부산광역시 영도구 태종로 428(청학동, 한라청학아파트)",051-413-2661,35.08929151,129.0678711
영도구,청이삼창경로당,"부산광역시 영도구 광암길 6 (청학동, 청이삼창아파트)",051-412-7243,35.09226756,129.0666226
영도구,미주아파트경로당,"부산광역시 영도구 일산봉로 62(청학동, 미주아파트)",051-413-2429,35.08757555,129.0657543
영도구,원우아파트경로당,"부산광역시 영도구 조내기로 38 (청학동, 원우앤리치빌아파트)",051-417-3289,35.0853846,129.0626334
영도구,롯데낙천대경로당,"부산광역시 영도구 청학남로 48 (청학동, 신영도롯데낙천대아파트)",051-416-5050,35.08813281,129.0618654
영도구,한일유앤아이아파트경로당,"부산광역시 영도구 일산봉로 58 (청학동, 한일유앤아이아파트)",051-413-6712,35.08722402,129.0651929
영도구,남극경로당,부산광역시 영도구 웃서발로39번길 16(동삼동),051-404-0293,35.08007985,129.0678548
영도구,백수경로당,"부산광역시 영도구 절영로 504(동삼동, 조양비취맨션)",051-403-0661,35.07093758,129.0707679
영도구,동삼경로당,부산광역시 영도구 동삼로 50번길 27(동삼동),051-405-4559,35.07790989,129.0720418
영도구,삼창파크경로당,"부산광역시 영도구 절영로 553 (동삼동, 삼창파크타운)",051-404-2341,35.0748724,129.0719099
영도구,중리경로당,부산광역시 영도구 중리북로39번길 2-6,051-405-0383,35.07193433,129.0685367
영도구,경전아파트경로당,"부산광역시 영도구 동삼동로 10(동삼동, 경전아파트)",051-405-8356,35.08089658,129.071502
영도구,함지그린아파트경로당,"부산광역시 영도구 함지로 8(동삼동, 함지그린아파트)",051-405-9366,35.07128954,129.0619986
영도구,반도보라경로당,"부산광역시 영도구 함지로 19(동삼동, 반도보라비치타운)",051-405-9663,35.07180289,129.0603581
영도구,절영경로당,부산광역시 영도구 함지로 33-10 (동삼동),051-405-3988,35.07221629,129.0617504
영도구,와치경로당,부산광역시 영도구 함지로 79번길 76(동삼동),051-403-0635,35.07599781,129.0655237
영도구,벽산경로당,"부산광역시 영도구 와치로 66(동삼동, 영도벽산비치타운)",051-405-9980,35.0872082,129.0597881
영도구,국제마마경로당,"부산광역시 영도구 중리로32(동삼동, 국제마마뉴비치타운)",051-405-9823,35.07247916,129.06924
영도구,절영아파트경로당,"부산광역시 영도구 와치로231 (동삼동, 절영아파트)",051-405-6121,35.07672707,129.0677527
영도구,절영3차경로당,"부산광역시 영도구 와치로 287(동삼동, 절영아파트(3차))",051-403-2236,35.07431709,129.0717681
영도구,삼창그린경로당,"부산광역시 영도구 태종로700번길 19(동삼동, 삼창그린타운)",051-404-3152,35.07157055,129.0749902
영도구,에덴금호경로당,"부산광역시 영도구 태종로 702 (동삼동, 에덴금호타운)",051-405-6061,35.07103109,129.0757126
영도구,한진로즈힐아파트경로당,"부산광역시 영도구 와치로294(동삼동, 한진로즈힐아파트)",051-404-9351,35.07343172,129.0712233
영도구,롯데캐슬블루오션아파트경로당,"부산광역시 영도구 절영로 524,101동",051-403-4907,35.07284686,129.0737326
영도구,성진경로당,부산광역시 영도구 본산남길 15(동삼동),051-405-2800,35.06735491,129.0803625
영도구,하리경로당,부산광역시 영도구 태종로773번길 9(동삼동),051-405-1882,35.06797606,129.0814035
영도구,동삼그린힐경로당,"부산광역시 영도구 상리로 1(동삼동, 주공아파트, 동삼그린힐아파트)",051-404-5436,35.08566712,129.0700343
영도구,동삼주공경로당,"부산광역시 영도구 상리로30(동삼동, 동삼종합사회복지관)",051-405-5070,35.08333088,129.0668365
영도구,도시아파트경로당,"부산광역시 영도구 동삼서로61 (동삼동, 도시아파트)",051-405-1760,35.08400579,129.0707164
영도구,동삼희망경로당,"부산광역시 영도구 상리로1 (동삼동, 주공아파트(2단지)",051-404-0430,35.08566712,129.0700343
부산진구,범전아파트경로당,부산광역시 부산진구 범양로 6,051-803-3978,35.16611361,129.0620374
부산진구,부전1동노인경로당,부산광역시 부산진구 부전로 130-10,051-805-5280,35.16085191,129.0560168
부산진구,부전1동할머니경로당,부산광역시 부산진구 부전로 130-10,051-805-9158,35.16085191,129.0560168
부산진구,범양경로당,부산광역시 부산진구 경마장로5번길 30-1,051-816-2161,35.16915965,129.0645481
부산진구,서부경로당,부산광역시 부산진구 새싹로 90,051-803-2479,35.16496619,129.0535933
부산진구,진산경로당,부산광역시 부산진구 범전로32번길 66,051-804-4518,35.1665642,129.0642533
부산진구,범전동아름다운경로당,부산광역시 부산진구 범양로 48,051-805-3787,35.1691096,129.0633022
부산진구,범전할머니경로당,부산광역시 부산진구 시민공원로74번길 11-11 (범전동),051-817-8448,35.16479901,129.0580318
부산진구,네오스포아파트경로당,부산광역시 부산진구 신천대로 122,051-807-5478,35.15362556,129.0540472
부산진구,부전2동제2경로당,부산광역시 부산진구 신천대로126번길 45,051-804-5483,35.15516636,129.0518842
부산진구,부전2동제1경로당,부산광역시 부산진구 신천대로 94,051-807-6470,35.15165256,129.0557195
부산진구,연지청구아파트경로당,"부산광역시 부산진구 성지로62번길 10(연지동, 연지청구아파트)",051-817-1370,35.17586322,129.056317
부산진구,연지2차청구아파트경로당,"부산광역시 부산진구 동평로291번길 30-17(연지동, 연지2차청구아파트)",051-817-6098,35.17411312,129.0571424
