연번,구군,급여종류,장기요양기관,설립연도                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,연면적(제곱미터) ,전화번호,주소,위도,경도
57,사하구,노인요양시설,해피빌요양원,2004,2126,051-201-3471, 부산광역시 사하구 다대로83번길  111 (괴정동),35.09359786,128.9833660
58,사하구,노인요양시설,안심노인건강센터 사하점,2011,491,051-292-3311, 부산광역시 사하구 다대낙조2길  3 (다대동),35.05038980,128.9658567
59,사하구,노인요양시설,늘푸른노인전문요양센터,2010,1088,051-201-2110," 부산광역시 사하구 낙동대로216번길  3 (괴정동, 신화타워프라자 2층)",35.10051666,128.9926954
60,사하구,노인요양시설,수 실버원,2020,1464,051-928-3900, 부산광역시 사하구 장평로  117 (장림동),35.07660279,128.9726353
61,사하구,노인요양시설,참사랑요양원,2019,741,051-266-3107," 부산광역시 사하구 다대로  235 5, 6층 (장림동)",35.08123157,128.9776688
62,사하구,노인요양시설,한우리요양원,2019,1113,051-208-7500, 부산광역시 사하구 원양로  400 (감천동),35.08628423,129.0057042
63,사하구,노인요양공동생활가정,성산간호실버홈,2021,211.6,051-291-9911," 부산광역시 사하구 낙동대로216번길  3 3층 (괴정동, 신화프라자)",35.10073647,128.9927348
64,금정구,노인요양시설,신망애노인요양원,1940,4105,051-582-1664, 부산광역시 금정구 금샘로  66 (장전동),35.23156397,129.0766960
65,금정구,노인요양시설,신망애치매전문요양원,2002,5169,051-516-7881, 부산광역시 금정구 금샘로  66 (장전동),35.23156397,129.0766960
66,금정구,노인요양시설,애광노인요양원,1986,437,051-582-0756, 부산광역시 금정구 금샘로17번안길  45 (장전동),35.22920006,129.0749290
67,금정구,노인요양시설,애광노인치매전문요양원,1998,6259,051-514-7737, 부산광역시 금정구 금샘로17번안길  45 (장전동),35.22920006,129.0749290
68,금정구,노인요양시설,금정노인요양원,2006,1988,051-508-8822, 부산광역시 금정구 청룡예전로43번길  25 (청룡동),35.27773027,129.0890140
69,금정구,노인요양시설,남광노인전문요양시설 하회원,2008,388,051-508-2894, 부산광역시 금정구 중앙대로2349번길  3 (노포동),35.29339563,129.1000092
70,금정구,노인요양시설,동래노인요양원,1998,1742,051-518-8275, 부산광역시 금정구 산성로  967 (장전동),35.23192654,129.0764701
71,금정구,노인요양시설,안평노인건강센터,2008,3680,051-518-6838, 부산광역시 금정구 금샘로  39-7 (장전동),35.22900807,129.0762447
72,강서구,노인요양시설,을숙도노인요양원,2010,2662,051-205-3888, 부산광역시 강서구 낙동남로991번길  54-1 (명지동),35.11577238,128.9238884
73,강서구,노인요양시설,정다운 어르신의 집,2012,977,051-973-9201, 부산광역시 강서구 낙동남로483번가길  21 (녹산동),35.11352315,128.8685299
74,강서구,노인요양시설,참사랑노인건강센터,2009,3322,051-972-1611, 부산광역시 강서구 상덕로119번길  28-11 (강동동),35.19283822,128.9173604
75,강서구,노인요양시설,행복한실버홈 요양원,2019,301,051-206-0900," 부산광역시 강서구 명지국제2로28번길  34 9층901호 (명지동, 에코팰리스)",35.09284604,128.9088564
76,연제구,노인요양시설,호산노인건강센터,2003,2996,051-502-3979, 부산광역시 연제구 화지로  103 (거제동),35.18369456,129.0661711
77,연제구,노인요양시설,연화원 소규모요양시설(가형),2008,574,051-868-0588, 부산광역시 연제구 중앙대로1066번길  35 (연산동),35.18230769,129.0812602
78,연제구,노인요양시설,큰별요양원,2016,804,051-710-0708, 부산광역시 연제구 과정로132번길  66-1 (연산동),35.18279536,129.1109982
79,연제구,노인요양공동생활가정,녹원요양원 미루나무집,2009,386,051-862-3200," 부산광역시 연제구 쌍미천로84번길  99 (연산동, 3층)",35.17974113,129.0900311
80,연제구,노인요양공동생활가정,녹원요양원 정금나무집,2009,378,051-862-3200," 부산광역시 연제구 쌍미천로84번길  99 (연산동, 2층)",35.17974113,129.0900311
81,연제구,노인요양공동생활가정,녹원요양원 함박꽃나무집,2009,373,051-862-3200," 부산광역시 연제구 쌍미천로84번길  99 (연산동, 1층)",35.17974113,129.0900311
82,연제구,노인요양공동생활가정,보경요양원(실버홈),2015,179,051-868-9845," 부산광역시 연제구 거제대로  128 807호 (거제동, 성원맨투로빌)",35.17960825,129.0695759
83,연제구,노인요양공동생활가정,시연실버홈,2021,186.42,051-865-9988,부산광역시 연제구 과정로276번길  22-1 (연산동),35.18915689,129.0977879
84,수영구,노인요양시설,성분도어버이집,1997,305,051-752-2982, 부산광역시 수영구 수영로497번길  18 (광안동),35.15111417,129.1107205
85,수영구,노인요양공동생활가정,고향의 집,2002,197,051-752-8393,부산광역시 수영구 망미제1동   461번지 5호,35.17708282,129.1038613
86,수영구,노인요양시설,흰돌요양센터(목제관),2001,1492,051-751-0561, 부산광역시 수영구 연수로260번길  53-1 (망미동),35.17008274,129.0994963
87,수영구,노인요양시설,상락정배산실버빌,2005,2020,051-756-0569,부산광역시 수영구 망미제1동   880번지 94호,35.17623417,129.1000513
88,수영구,노인요양시설,은애너싱홈,2003,401,051-759-1228,부산광역시 수영구 광안제1동   499번지 8호,35.16444665,129.1106165
89,사상구,노인요양시설,부산광역시 노인건강센터,1998,3852,051-310-7500," 부산광역시 사상구 학감대로39번길  129 (학장동, 부산노인건강센터)",35.13120626,128.9963820
90,사상구,노인요양시설,노인요양시설 보성실버센터,2012,558,051-311-3150," 부산광역시 사상구 가야대로318번길  78 1층 (주례동, 보성실버센터)",35.14704919,129.0077144
91,사상구,노인요양시설,보성실버홈,2009,384,051-311-3122," 부산광역시 사상구 가야대로330번길  58-4 (주례동, 보성실버홈)",35.14822940,129.0088703
92,사상구,노인요양시설,(복지) 그리스도구원선 윤금노인요양원,2013,2006,051-312-0675," 부산광역시 사상구 가야대로  187 (주례동, 윤금노인요양원)",35.15016365,128.9929806
93,사상구,노인요양시설,서부산노인요양원,2012,1252,051-325-9998, 부산광역시 사상구 운산로  112 (괘법동),35.16674546,128.9879574
94,사상구,노인요양시설,참조은실버요양원,2009,2766,051-316-1512, 부산광역시 사상구 백양대로572번길  17-8 (감전동),35.15803909,128.9911228
95,사상구,노인요양시설,정향행복한마을,2009,2392,051-303-1258," 부산광역시 사상구 백양대로  687-23 (덕포동, 외 2필지)",35.16763596,128.9881877
96,사상구,노인요양시설,정향효마을,2008,575,051-322-1250,부산광역시 사상구 엄궁북로4번길 39 (엄궁동),35.12750189,128.9719463
97,기장군,노인요양시설,기장실버홈,2004,3969,051-728-7011, 부산광역시 기장군 정관읍 곰내길  574 (정관읍),35.31518227,129.1699594
98,기장군,노인요양시설,효성노인건강센터,2006,3006,051-727-5080,부산광역시 기장군 장안읍 기룡리  69-1,35.35898651,129.2614089
99,기장군,노인요양시설,효성제일노인건강센터,2011,2543,051-714-3747, 부산광역시 기장군 장안읍 오리길  109 (장안읍),35.36665765,129.2733574
100,기장군,노인요양시설,선양시니어빌리지,2011,2876,051-711-0102, 부산광역시 기장군 장안읍 천산로  63 (장안읍),35.33516414,129.2836311
101,기장군,노인요양시설,송암노인요양원,2010,711,051-723-0315, 부산광역시 기장군 기장읍 배산로56번길  26-16 (기장읍),35.24954472,129.2102634
102,기장군,노인요양공동생활가정,수연어르신의집,2016,262,051-508-3206, 부산광역시 기장군 철마면 입석길  68 (철마면),35.31222410,129.1168253
103,기장군,노인요양시설,한마음노인건강센터,2012,2157,051-722-5544, 부산광역시 기장군 기장읍 차성남로  91-2 (기장읍),35.24139550,129.2184263
104,기장군,노인요양공동생활가정,구원의 집,2008,244,051-508-6616, 부산광역시 기장군 철마면 입석길  37 (철마면),35.31012195,129.1170383
105,기장군,노인요양시설,기장실버타운,2012,2952,051-723-8899, 부산광역시 기장군 기장읍 죽성로  227 (기장읍),35.24536227,129.2413835
106,기장군,노인요양시설,기장노인의료센터,2009,2403,051-722-6500, 부산광역시 기장군 일광면 화전2길  86-25 (일광면),35.28712660,129.2277195
107,기장군,노인요양시설,다인요양원,2016,1463,051-723-6636, 부산광역시 기장군 장안읍 오리길  376-28 (장안읍),35.34448035,129.2771782
108,기장군,노인요양시설,반석노인건강센터,2009,3078,051-711-5000, 부산광역시 기장군 장안읍 못안길  47 (장안읍),35.37948640,129.2602205
109,기장군,노인요양시설,백양원,2015,685,051-727-3990, 부산광역시 기장군 일광면 칠암3길  14 (일광면),35.29726890,129.2573159
110,기장군,노인요양시설,행복한어르신의집 노인요양원,2012,957,051-728-9007," 부산광역시 기장군 장안읍 기장대로  1727 (장안읍, 행복한어르신의집)",35.34389738,129.2510753
111,기장군,노인요양시설,주사랑재활요양원,2018,919,051-724-8181, 부산광역시 기장군 기장읍 연화길  62 (기장읍),35.21909726,129.2262975
112,기장군,노인요양시설,하서 요양원,2018,799,051-921-0777," 부산광역시 기장군 정관읍 구연3로  11 4,5,6층 (정관읍)",35.32082326,129.1812254
113,기장군,노인요양공동생활가정,해피케어 노인요양공동생활가정,2018,194,051-508-2201, 부산광역시 기장군 철마면 강변길  20 (철마면),35.30750031,129.1120100
114,기장군,노인요양시설,효산요양원,2019,1460,051-508-0675, 부산광역시 기장군 철마면 철마삼동로  103 (철마면),35.31380490,129.1145047
115,기장군,노인요양시설,온누리요양원,2014,2124,051-714-0120, 부산광역시 기장군 장안읍 못안길  47 (장안읍),35.37948640,129.2602205
