"수행기관","구군명","사업구분","사업명","사업주요활동내용","사업시작일","사업종료일","인원(명)","전화번호","데이터기준일자"
"반송종합사회복지관","부산광역시 해운대구","공익활동","공유공간도우미","작은 복지관 내 보조업무 및 환경정비","2020-01-01","2020-12-31","10","051-544-8006","2020-12-31"
"반송종합사회복지관","부산광역시 해운대구","공익활동","노노케어","취약노인가정 방문 말벗, 안부확인, 생활실태점검 등","2020-01-01","2020-12-31","40","051-544-8006","2020-12-31"
"반송종합사회복지관","부산광역시 해운대구","공익활동","실버환경도우미","공원 및 공공시설 주변정리 및 관리","2020-01-01","2020-12-31","60","051-544-8006","2020-12-31"
"반송종합사회복지관","부산광역시 해운대구","공익활동","토이클리너","장난감도서관 및 어린이집 장난감 세척","2020-01-01","2020-12-31","16","051-544-8006","2020-12-31"
"반송종합사회복지관","부산광역시 해운대구","공익활동","아이사랑보육지원단","보육시설 환경정비, 보육교사 업무보조","2020-01-01","2020-12-31","10","051-544-8006","2020-12-31"
"반송종합사회복지관","부산광역시 해운대구","공익활동","반송사랑방역지원단","취약계층 및 시설 방역 실시","2020-01-01","2020-12-31","54","051-544-8006","2020-12-31"
"반석종합사회복지관","부산광역시 해운대구","공익활동","노노케어","취약노인가정 방문 말벗, 안부확인, 생활실태점검 등","2020-01-01","2020-12-31","46","051-542-0196","2020-12-31"
"반석종합사회복지관","부산광역시 해운대구","공익활동","지역사회 환경개선봉사","거리환경 청결 및 거리안전 유지활동","2020-01-01","2020-12-31","60","051-542-0196","2020-12-31"
"반석종합사회복지관","부산광역시 해운대구","공익활동","보육시설봉사","보육시설 교구정리 및 환경정비, 보육교사 업무보조","2020-01-01","2020-12-31","22","051-542-0196","2020-12-31"
"반석종합사회복지관","부산광역시 해운대구","공익활동","공공의료 및 복지시설봉사","복지기관 환경정비, 경로식당 음식조리보조 및 입소자 자녀(아기) 돌봄","2020-01-01","2020-12-31","45","051-542-0196","2020-12-31"
"반석종합사회복지관","부산광역시 해운대구","공익활동","똑똑똑지킴이","고독사 예방 및 고독사 위험 노인 발굴, 관리","2020-01-01","2020-12-31","17","051-542-0196","2020-12-31"
"반여종합사회복지관","부산광역시 해운대구","공익활동","노노케어사업","취약노인가정 방문 말벗, 안부확인, 생활실태점검 등","2020-01-01","2020-12-31","70","051-784-0552","2020-12-31"
"반여종합사회복지관","부산광역시 해운대구","공익활동","세대공감놀이터","본 복지관 방문 청소년(아동, 유아 등) 안전한 환경 마련, 1세대와 3세대 간 정서적 유대감 형성, 환경정비","2020-01-01","2020-12-31","12","051-784-0552","2020-12-31"
"반여종합사회복지관","부산광역시 해운대구","공익활동","지역아동센터봉사","지역아동센터 환경정비 및 급식 지원","2020-01-01","2020-12-31","30","051-784-0552","2020-12-31"
"반여종합사회복지관","부산광역시 해운대구","공익활동","보육시설봉사","어린이집 활동물품 점검 및 장난감 세척","2020-01-01","2020-12-31","50","051-784-0552","2020-12-31"
"반여종합사회복지관","부산광역시 해운대구","공익활동","급식보조사업단","복지관 무료급식 대상자 급식 지원 및 보조","2020-01-01","2020-12-31","12","051-784-0552","2020-12-31"
"반여종합사회복지관","부산광역시 해운대구","공익활동","고독사예방 네트워크안전망","고독사 위험군 가정방문, 안부확인 및 관리","2020-01-01","2020-12-31","16","051-784-0552","2020-12-31"
"장산노인복지관","부산광역시 해운대구","공익활동","노노케어사업단","취약노인가정 방문 말벗, 안부확인, 생활실태점검 등","2020-01-01","2020-12-31","60","051-704-9141","2020-12-31"
"장산노인복지관","부산광역시 해운대구","공익활동","보육시설 도우미사업단","보육시설 업무보조 및 환경미화, 영유아 보육보조","2020-01-01","2020-12-31","140","051-704-9141","2020-12-31"
"장산노인복지관","부산광역시 해운대구","공익활동","환경지킴이사업단","환경개선 활동","2020-01-01","2020-12-31","85","051-704-9141","2020-12-31"
"장산노인복지관","부산광역시 해운대구","공익활동","장난감청결사업단","어린이집, 유치원 교구 및 장난감 소독","2020-01-01","2020-12-31","21","051-704-9141","2020-12-31"
"장산노인복지관","부산광역시 해운대구","공익활동","지역아동센터 도우미사업단","지역아동센터 종사자 업무보조, 시설 환경미화 및 급식보조","2020-01-01","2020-12-31","40","051-704-9141","2020-12-31"
"영진종합사회복지관","부산광역시 해운대구","공익활동","실버지킴이","교육(복지)시설 청소, 안전점검 등 환경관리","2020-01-01","2020-12-31","58","051-529-0005","2020-12-31"
"영진종합사회복지관","부산광역시 해운대구","사회서비스형","영진장기요양도우미","장기요양보험 수급자를 대상으로 전자태그(비콘) 부착상태 확인 및 복지용구 제도 안내","2020-02-01","2020-12-31","10","051-529-0005","2020-12-31"
"영진종합사회복지관","부산광역시 해운대구","사회서비스형","영진시설도우미","노인시설(기관) 청소 등 환경정비","2020-02-01","2020-12-31","10","051-529-0005","2020-12-31"
"해운대구청(노인장애인복지과)","부산광역시 해운대구","공익활동","안전하굣길순찰단","하교시간대 학교주변 및 관내 근린공원 등 우범지역 순찰","2020-01-01","2020-12-31","36","051-749-6201","2020-12-31"
"해운대구청(노인장애인복지과)","부산광역시 해운대구","공익활동","어메니티환경정비단","골목 및 공원 환경정비, 가로수 주변 담배꽁초 등 쓰레기 수거, 불법광고물 수거, 쓰레기 불법투기 지도순찰","2020-01-01","2020-12-31","312","051-749-6201","2020-12-31"
"어진샘노인종합사회복지관","부산광역시 해운대구","공익활동","경륜전수활동","교안작성, 교재 및 교구준비, 수업진행 , 학습지도 등","2020-01-01","2020-12-31","20","051-784-8008","2020-12-31"
"어진샘노인종합사회복지관","부산광역시 해운대구","공익활동","건강체조 취미생활지도","경로당 등에서 요가, 취미, 단전호흡 등 교육","2020-01-01","2020-12-31","12","051-784-8008","2020-12-31"
"어진샘노인종합사회복지관","부산광역시 해운대구","공익활동","도서관봉사","도서 정리, 업무보조 등","2020-01-01","2020-12-31","10","051-784-8008","2020-12-31"
"어진샘노인종합사회복지관","부산광역시 해운대구","공익활동","복지시설봉사","시설 내 쓰레기운반 및 분리수거, 식사지원, 환경정비, 안전관리","2020-01-01","2020-12-31","60","051-784-8008","2020-12-31"
"어진샘노인종합사회복지관","부산광역시 해운대구","공익활동","지역사회 환경개선봉사","주거환경 및 생태환경 등 정화 업무, 전통시장 환경정비 및 장애물 처리 등 안전사고 방지","2020-01-01","2020-12-31","28","051-784-8008","2020-12-31"
"영진종합사회복지관","부산광역시 해운대구","사회서비스형","영진맞춤돌보미","노인맞춤돌봄서비스 수행기관 업무보조","2020-02-01","2020-12-31","10","051-529-0005","2020-12-31"
"운봉종합사회복지관","부산광역시 해운대구","공익활동","노노케어","취약노인가정 방문 말벗, 안부확인, 생활실태점검 등","2020-01-01","2020-12-31","63","051-543-2431","2020-12-31"
"운봉종합사회복지관","부산광역시 해운대구","공익활동","운봉지킴이","고독사 위험군 독거어르신 발굴 및 관리","2020-01-01","2020-12-31","17","051-543-2431","2020-12-31"
"운봉종합사회복지관","부산광역시 해운대구","공익활동","복지시설도우미","주공관리사무소 텃밭?화단 관리, 경로당 관리, 배식지원","2020-01-01","2020-12-31","40","051-543-2431","2020-12-31"
"운봉종합사회복지관","부산광역시 해운대구","공익활동","지하철안전지킴이","무임승차?안전사고 예방업무, 지리, 교통 및 자동화기기사용 안내","2020-01-01","2020-12-31","70","051-543-2431","2020-12-31"
"부산해운대시니어클럽","부산광역시 해운대구","시장형","다이나믹6070택배2호","아파트 내 택배 배송 및 반품 활동","2020-01-01","2020-12-31","40","051-784-9141","2020-12-31"
"부산해운대시니어클럽","부산광역시 해운대구","시장형","초등학교급식도우미","급식 배식보조 및 식사예절 지도, 급식소 내외 환경정리 등","2020-01-01","2020-12-31","16","051-784-9141","2020-12-31"
"부산해운대시니어클럽","부산광역시 해운대구","시장형","교육청학교지원사업","공립학교 도색, 조경관리, 배수로 청소 등","2020-01-01","2020-12-31","15","051-784-9141","2020-12-31"
"해운대구장애인복지관","부산광역시 해운대구","공익활동","지역환경개선봉사단","길거리 환경정리, 쓰레기 무단 투기 방지 계도 활동 지역주민 안전관리","2020-01-01","2020-12-31","80","051-521-5200","2020-12-31"
"해운대구장애인복지관","부산광역시 해운대구","공익활동","장애인복지시설 봉사단","시설 내 쓰레기 운반 및 분리수거 환경정리, 식당보조지원, 복지관 홍보 지원 활동","2020-01-01","2020-12-31","50","051-521-5200","2020-12-31"
"해운대구장애인복지관","부산광역시 해운대구","공익활동","장애인서비스 자원봉사단","장애인 프로그램 이용 및 활동 보조, 정서지원서비스, 안부확인서비스 활동","2020-01-01","2020-12-31","40","051-521-5200","2020-12-31"
"부산해운대시니어클럽","부산광역시 해운대구","공익활동","해운대보안관","공중화장실 불법 촬영 범죄예방 활동","2020-01-01","2020-12-31","30","051-784-9141","2020-12-31"
"부산해운대시니어클럽","부산광역시 해운대구","공익활동","실버관광통역사업","관광객 대상 안내 및 통역서비스 제공","2020-01-01","2020-12-31","20","051-784-9141","2020-12-31"
"부산해운대시니어클럽","부산광역시 해운대구","공익활동","복지시설봉사사업","복지시설 안내 및 지원","2020-01-01","2020-12-31","80","051-784-9141","2020-12-31"
"부산해운대시니어클럽","부산광역시 해운대구","공익활동","보육시설봉사사업","보육교사 보조 및 환경미화","2020-01-01","2020-12-31","60","051-784-9141","2020-12-31"
"부산해운대시니어클럽","부산광역시 해운대구","공익활동","공공시설봉사사업","해운대세무서 민원 안내 활동, 벡스코 내·외곽 잡초 제거 및 환경미화, 동해남부선 기차역 내 이용자 안내","2020-01-01","2020-12-31","50","051-784-9141","2020-12-31"
"부산해운대시니어클럽","부산광역시 해운대구","공익활동","생활시설지원사업","취약계층 이용시설 내·외 환경미화","2020-01-01","2020-12-31","20","051-784-9141","2020-12-31"
"부산해운대시니어클럽","부산광역시 해운대구","공익활동","도시재생관리사업","공원 및 공공시설 환경미화, 보건소 연계 금연구역 홍보 및 캠페인 활동","2020-01-01","2020-12-31","70","051-784-9141","2020-12-31"
"어진샘노인종합사회복지관","부산광역시 해운대구","공익활동","지역아동센터봉사","지역아동센터 아동 방과후 교육 및 귀가, 급식 지원","2020-01-01","2020-12-31","25","051-784-8008","2020-12-31"
"어진샘노인종합사회복지관","부산광역시 해운대구","공익활동","문화재시설봉사","문화재 보호, 훼손방지 안내, 관람 편의제공","2020-01-01","2020-12-31","10","051-784-8008","2020-12-31"
"어진샘노인종합사회복지관","부산광역시 해운대구","공익활동","청소년선도봉사","학교주변 환경정비 및 범죄예방 안전순찰","2020-01-01","2020-12-31","85","051-784-8008","2020-12-31"
"어진샘노인종합사회복지관","부산광역시 해운대구","공익활동","공공시설봉사","환경정비 및 쓰레기 분리수거, 금연계도, 환경계도 캠페인 및 관광객 안내","2020-01-01","2020-12-31","60","051-784-8008","2020-12-31"
"어진샘노인종합사회복지관","부산광역시 해운대구","공익활동","보육시설봉사","보육교사 보조, 생활지도, 영유아 및 아동 식사 준비·보조","2020-01-01","2020-12-31","80","051-784-8008","2020-12-31"
"어진샘노인종합사회복지관","부산광역시 해운대구","사회서비스형","노인맞춤돌봄서비스 업무보조","생활관리사가 노인 가정방문 시 동행 및 업무보조, 후원물품 전달, 그룹프로그램 진행보조 등","2020-02-01","2020-12-31","10","051-784-8008","2020-12-31"
"파랑새종합사회복지관","부산광역시 해운대구","공익활동","교육시설봉사","초등학교 환경정비 및 학교시설 관리","2020-01-01","2020-12-31","40","051-545-0115","2020-12-31"
"파랑새종합사회복지관","부산광역시 해운대구","공익활동","전통시장도우미","전통시장 환경정비, 이용자 안내 및 편의제공 지원 등","2020-01-01","2020-12-31","40","051-545-0115","2020-12-31"
"파랑새종합사회복지관","부산광역시 해운대구","공익활동","실버보행안전봉사","노인유동인구 밀집지역 주변 교통정리 및 안전인식 캠페인 등","2020-01-01","2020-12-31","40","051-545-0115","2020-12-31"
"장산노인복지관","부산광역시 해운대구","공익활동","배움터가꿈이","교육시설 환경미화 및 업무지원","2020-01-01","2020-12-31","24","051-704-9141","2020-12-31"
"장산노인복지관","부산광역시 해운대구","사회서비스형","노인맞춤돌봄지원","노인맞춤돌봄서비스 업무보조 및 생활상태 점검 등","2020-02-01","2020-12-31","5","051-704-9141","2020-12-31"
"장산노인복지관","부산광역시 해운대구","사회서비스형","보육시설지원","보육시설 내 업무보조 및 환경미화 활동","2020-02-01","2020-12-31","25","051-704-9141","2020-12-31"
"장산노인복지관","부산광역시 해운대구","사회서비스형","노인서비스지원","노인관련시설 내 업무보조 및 시설관리활동","2020-02-01","2020-12-31","20","051-704-9141","2020-12-31"
"해운대종합사회복지관","부산광역시 해운대구","공익활동","노노케어","취약노인가정 방문 말벗, 안부확인, 생활실태점검 등","2020-01-01","2020-12-31","90","051-782-5005","2020-12-31"
"해운대종합사회복지관","부산광역시 해운대구","공익활동","도서관봉사","도서관 이용지도, 사서 업무보조, 도서 분류 및 관리","2020-01-01","2020-12-31","34","051-782-5005","2020-12-31"
"해운대종합사회복지관","부산광역시 해운대구","공익활동","복지시설봉사","복지시설 내 환경미화, 시설관리, 급식보조, 안내","2020-01-01","2020-12-31","26","051-782-5005","2020-12-31"
"해운대종합사회복지관","부산광역시 해운대구","공익활동","보육시설봉사","유치원, 어린이집 아동 보육서비스 및 예절지도, 보육교사 보조","2020-01-01","2020-12-31","40","051-782-5005","2020-12-31"
"대한노인회 해운대구지회","부산광역시 해운대구","공익활동","경로당특활사업","경로당 환경미화 및 식사활동 지원","2020-01-01","2020-12-31","190","051-746-8278","2020-12-31"
"중구노인복지관","부산광역시 중구","공익활동","노인일자리사업","공익활동, 사회서비스, 시장형","2021-01-01","2021-12-31","399","051-241-2591","2021-01-01"
"중구시니어클럽","부산광역시 중구","시장형","노인일자리사업","공익활동, 시장형","2021-01-01","2021-12-31","899","051-951-2800","2021-01-01"
"대한노인회 중구지회","부산광역시 중구","공익활동","노인일자리사업","공익활동","2021-01-01","2021-12-31","399","051-247-1820","2021-01-01"
"부산영도시니어클럽","부산광역시 영도구","공익활동형,사회서비스형, 시장형","보육교사도우미,공공시설봉사사업,환경관리사업,맑은누리사업,방아깨비사업 등","공원 및 놀이터 시설관리,안전지킴이,환경미화 등","2020-01-01","2020-12-31","1339","051-413-7272","2020-12-31"
"와치종합사회복지관","부산광역시 영도구","공익활동형","마실봉사단,수호천사단,해피청결단","장애인돌봄지원,공공시설봉사 등","2020-01-01","2020-12-31","164","051-403-4200","2020-12-31"
"절영종합사회복지관","부산광역시 영도구","공익활동형","노노케어,노장케어,공공시설봉사","어르신 인사 및 안부확인,생활실태점검 등","2020-01-01","2020-12-31","70","051-404-5530","2020-12-31"
"동삼종합사회복지관","부산광역시 영도구","공익활동형","노노케어","어르신 인사 및 안부확인,생활실태점검 등","2020-01-01","2020-12-31","84","051-404-2133","2020-12-31"
"상리종합사회복지관","부산광역시 영도구","공익활동형","노인안심지원사업,노인돌봄지원사업,상리시설지원사업","어르신 인사 및 안부확인,생활실태점검 등","2020-01-01","2020-12-31","48","051-404-4003","2020-12-31"
"영도구청 복지사업과","부산광역시 영도구","공익활동형","우리동네 지킴이","관내 환경정비, 불법광고물 정비","2020-01-01","2020-12-31","96","051-419-4352","2020-12-31"
"대한노인회 영도구지회","부산광역시 영도구","공익활동형","경로당안전돌봄,노노에듀케어문화강사","경로당내 안전검점,어르신 안부 확인 등","2020-01-01","2020-12-31","180","051-417-4888","2020-12-31"
"영도구노인복지관","부산광역시 영도구","공익활동형, 사회서비스형","노노케어,지역사회환경개선봉사,주정차질서계도봉사,영도태종대문화재시설봉사,놀이터공공시설봉사,","어르신안전확인,말벗 활동,생활실태점검 등","2020-01-01","2020-12-31","450","051-417-6344","2020-12-31"
"영도구종합사회복지관","부산광역시 영도구","공익활동형","노노케어,노장케어,신장장애인서비스지원단","어르신 말벗,고민들어주기,순찰활동,안부확인 등","2020-01-01","2020-12-31","220","051-413-4661","2020-12-31"
"부산연제시니어클럽","부산광역시 연제구","사회서비스","아동돌봄지원사업","아동돌봄지원사업","2021-01-04","2021-12-31","70","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","시장","학교시설지원사업","학교시설지원사업","2021-01-04","2021-12-31","12","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","시장","다방사업","다방사업","2021-01-04","2021-12-31","66","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","시장","실버마을작업장사업","실버마을작업장사업","2021-01-04","2021-12-31","65","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","시장","청소지원사업","청소지원사업","2021-01-04","2021-12-31","50","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","취업알선","실버사랑취업알선사업","실버사랑취업알선사업","2021-01-04","2021-12-31","300","051-851-2190","2021-01-12"
"장노년일자리지원센터","부산광역시 연제구","사회서비스","사회서비스형","사회서비스형","2021-01-04","2021-12-31","57","051-864-6300","2021-01-12"
"장노년일자리지원센터","부산광역시 연제구","취업알선","60+일자리사업","60+일자리사업","2021-01-04","2021-12-31","300","051-864-6300","2021-01-12"
"연제구노인복지관","부산광역시 연제구","공익","고독사예방지원사업","고독사예방지원사업","2021-01-04","2021-12-31","50","051-863-9988","2021-01-12"
"연제구노인복지관","부산광역시 연제구","공익","보육교사도우미사업","보육교사도우미사업","2021-01-04","2021-12-31","95","051-863-9988","2021-01-12"
"연제구노인복지관","부산광역시 연제구","공익","복지시설지원사업","복지시설지원사업","2021-01-04","2021-12-31","70","051-863-9988","2021-01-12"
"연제구노인복지관","부산광역시 연제구","공익","지역사회환경개선","지역사회환경개선","2021-01-04","2021-12-31","115","051-863-9988","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","공익","자원봉사캠프 지원사업","자원봉사캠프 지원사업","2021-01-04","2021-12-31","20","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","공익","고독사예방사업","고독사예방사업","2021-01-04","2021-12-31","30","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","공익","공익시설지원사업","공익시설지원사업","2021-01-04","2021-12-31","80","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","공익","버스정류장관리사업","버스정류장관리사업","2021-01-04","2021-12-31","140","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","공익","시설안전지킴이사업","시설안전지킴이사업","2021-01-04","2021-12-31","128","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","공익","차량계도지원사업","차량계도지원사업","2021-01-04","2021-12-31","150","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","공익","공공시설환경지킴이사업","공공시설환경지킴이사업","2021-01-04","2021-12-31","100","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","공익","학교시설통합지원사업","학교시설통합지원사업","2021-01-04","2021-12-31","180","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","공익","학교시설통합지원사업","학교시설통합지원사업","2021-01-04","2021-12-31","60","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","사회서비스","시니어컨설턴트사업","시니어컨설턴트사업","2021-01-04","2021-12-31","10","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","사회서비스","실버안전소방사업","실버안전소방사업","2021-01-04","2021-12-31","79","051-851-2190","2021-01-12"
"부산연제시니어클럽","부산광역시 연제구","사회서비스","노인복지시설지원사업","노인복지시설지원사업","2021-01-04","2021-12-31","30","051-851-2190","2021-01-12"
"대한노인회 연제구지회","부산광역시 연제구","공익","경로당 알리미","경로당 알리미","2021-01-04","2021-12-31","16","051-759-4515","2021-01-12"
"대한노인회 연제구지회","부산광역시 연제구","공익","경로당행복도우미","경로당행복도우미","2021-01-04","2021-12-31","180","051-759-4515","2021-01-12"
"대한노인회 연제구지회","부산광역시 연제구","공익","노노케어","노노케어","2021-01-04","2021-12-31","120","051-759-4515","2021-01-12"
"대한노인회 연제구지회","부산광역시 연제구","공익","쌈지공원지킴이","쌈지공원지킴이","2021-01-04","2021-12-31","64","051-759-4515","2021-01-12"
"대한노인회 연제구지회","부산광역시 연제구","공익","온천천 지킴이","온천천 지킴이","2021-01-04","2021-12-31","100","051-759-4515","2021-01-12"
"대한노인회 연제구지회","부산광역시 연제구","공익","환경지킴이","환경지킴이","2021-01-04","2021-12-31","140","051-759-4515","2021-01-12"
"부산시노인종합복지관","부산광역시 연제구","공익","공원놀이체험","공원놀이체험","2021-01-04","2021-12-31","10","051-853-5090","2021-01-12"
"부산시노인종합복지관","부산광역시 연제구","공익","공익시설지원","공익시설지원","2021-01-04","2021-12-31","50","051-853-5090","2021-01-12"
"부산시노인종합복지관","부산광역시 연제구","공익","노노케어","노노케어","2021-01-04","2021-12-31","140","051-853-5090","2021-01-12"
"부산시노인종합복지관","부산광역시 연제구","공익","보육교사도우미","보육교사도우미","2021-01-04","2021-12-31","80","051-853-5090","2021-01-12"
"부산시노인종합복지관","부산광역시 연제구","공익","복지시설지원","복지시설지원","2021-01-04","2021-12-31","122","051-853-5090","2021-01-12"
"부산시노인종합복지관","부산광역시 연제구","공익","시니어행복드림 순찰대","시니어행복드림 순찰대","2021-01-04","2021-12-31","36","051-853-5090","2021-01-12"
"부산시노인종합복지관","부산광역시 연제구","공익","지역환경지킴이","지역환경지킴이","2021-01-04","2021-12-31","48","051-853-5090","2021-01-12"
"부산시노인종합복지관","부산광역시 연제구","공익","클린세이브","클린세이브","2021-01-04","2021-12-31","54","051-853-5090","2021-01-12"
"부산시노인종합복지관","부산광역시 연제구","사회서비스","노인돌봄시설지원","노인돌봄시설지원","2021-01-04","2021-12-31","14","051-853-5090","2021-01-12"
"부산시노인종합복지관","부산광역시 연제구","사회서비스","지역아동돌보미","지역아동돌보미","2021-01-04","2021-12-31","26","051-853-5090","2021-01-12"
"부산시노인종합복지관","부산광역시 연제구","시장","카페마실","카페마실","2021-01-04","2021-12-31","8","051-853-5090","2021-01-12"
"연제구노인복지관","부산광역시 연제구","사회서비스","노인맞춤돌봄서비스지원사업","노인맞춤돌봄서비스지원사업","2021-01-04","2021-12-31","13","051-863-9988","2021-01-12"
"연제구노인복지관","부산광역시 연제구","사회서비스","노인요양원지원사업","노인요양원지원사업","2021-01-04","2021-12-31","14","051-863-9988","2021-01-12"
"연제구노인복지관","부산광역시 연제구","사회서비스","지역아동센터지원사업","지역아동센터지원사업","2021-01-04","2021-12-31","10","051-863-9988","2021-01-12"
"거제종합사회복지관","부산광역시 연제구","공익","도서관 관리지원사업","도서관 관리지원사업","2021-01-04","2021-12-31","26","051-507-8174","2021-01-12"
