"자치단체코드(신고지역)","인허가번호","서비스ID","데이터갱신구분","데이터갱신일자","서비스ID명","사업장명","지번우편번호","지번주소","도로명우편번호","도로명주소","인허가일자","병상수","보조종업원수","사무실면적","세탁실면적","시설관리자수","약국영업면적","영양사수","폐업일자","휴업시작일자","휴업종료일자","재개업일자","영업상태","상세영업상태","좌표정보(X)","좌표정보(Y)","최종수정일자","업태구분명","전화번호","간호사수","간호조무사수","건물층수","구급차일반","구급차특수","구조사수","급식시설면적","기타인원수","기타종업원수","모유수유실면적","목욕실면적","미화원수","영유아실면적","영유아정원수","완화의료담당부서명","완화의료지정형태","욕실면적","의료기관종별명","의료유사업종별명","의료인수","임산부실면적","임산부정원수","입원실수","자격증소유자수","조리원화장실면적","종업원수","지상층수","지정일자","지정취소일자","지하층수","진료과목내용","진료과목내용명","총면적","총인원","최초지정일자","취사부수","판매점영업면적","허가병상수"
"3310000","PHMH320183310024087500018","01_01_05_P","I","2018-09-06 11:42:32.0","-","GS25 부경감만점","-","부산광역시 남구 감만동 248번지 26호","48549","부산광역시 남구 양지골로 110 (감만동)","20180903","-","-","-","-","-","-","-","-","-","-","-","13","영업중","390238.050667241","181470.076594572","20180903115949","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","66.12","-"
"3310000","PHMH320183310024087500019","01_01_05_P","I","2018-09-06 11:42:32.0","-","(주)코리아세븐 부산경성중앙점","-","부산광역시 남구 대연동 73번지 8호","48434","부산광역시 남구 수영로 311 (대연동)","20180903","-","-","-","-","-","-","-","-","-","-","-","13","영업중","391314.978282378","184073.091417966","20180903132623","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","59","-"
"3320000","PHMH320183320045087500015","01_01_05_P","U","2018-09-06 11:42:32.0","-","GS25 대림쌍용점","-","부산광역시 북구 화명동 2306번지 대림쌍용강변타운","46540","부산광역시 북구 화명신도시로 37, 대림쌍용강변타운 상가2동 101호 (화명동)","20180831","-","-","-","-","-","-","-","-","-","-","-","13","영업중","382735.813437591","193792.075387915","20180903102524","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","40.71","-"
"3330000","PHMH320163330024087500020","01_01_05_P","U","2018-09-06 11:42:32.0","-","지에스(GS)25해운주성점","-","부산광역시 해운대구 좌동 1483번지 1호 주성프라자 101호","48111","부산광역시 해운대구 세실로27번길 17, 101호 (좌동, 주성프라자)","20160620","-","-","-","-","-","-","-","20180904","-","-","-","03","폐업","398377.77044139","187628.481757803","20180904152059","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","50.8","-"
"3400000","PHMH320133400013087500001","01_01_05_P","U","2018-09-06 11:42:32.0","-","씨유정관로얄듀크1차점","-","부산광역시 기장군 정관읍 달산리 1207번지 정관 동원로얄듀크1차","46025","부산광역시 기장군 정관읍 산단4로 139, 상가동 101호 (정관 동원로얄듀크1차)","20130828","-","-","-","-","-","-","-","-","-","-","-","13","영업중","399310.22994400000","204734.31616100000","20180904132218","-","051-123-1234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36","-"
"3290000","PHMA119833290024041100003","01_01_02_P","U","2018-09-06 11:42:31.0","-","김용내과의원","614865","부산광역시 부산진구 전포동 660번지 1호 한신밴오피스텔 407호","47247","부산광역시 부산진구 동천로 116, 407호 (전포동, 한신밴오피스텔)","19830316","0","-","-","-","-","-","-","-","20181001","20190930","-","02","휴업","387869.134317928","186381.28184674","20180904154925","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","2","-","-","0","-","-","-","-","-","-","-","-","-","134.74","-","-","-","0","-"
"3290000","PHMA120133290024041100026","01_01_02_P","U","2018-09-06 11:42:31.0","-","튼튼마디한의원","614845","부산광역시 부산진구 부전동 160번지 6호","47291","부산광역시 부산진구 중앙대로 712, 3층 (부전동)","20130617","0","-","-","-","-","-","-","-","-","-","-","13","영업중","387661.92228900000","186372.62052800000","20180904172545","한의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","한의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","143","-","-","-","0","-"
"3280000","PHMA120163280023041100001","01_01_02_P","U","2018-09-06 11:42:31.0","-","성원정형외과의원","-","-","49045","부산광역시 영도구 절영로 30 (대교동1가)","20160419","19","-","-","-","-","-","-","-","-","-","-","13","영업중","385902","178885","20180903151328","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","1","-","-","5","-","-","-","-","-","-","-","-","-","607.4","-","-","-","0","-"
"3250000","PHMA120183250021041100003","01_01_02_P","I","2018-09-06 11:42:31.0","-","고의경이비인후과의원","-","부산광역시 중구 남포동6가 63번지","48981","부산광역시 중구 구덕로 90, 4층 (남포동6가)","20180828","0","-","-","-","-","-","-","-","-","-","-","13","영업중","384670.317658138","179489.435069922","20180903104132","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","207","-","-","-","0","-"
"3290000","PHMA120003290024041100031","01_01_02_P","U","2018-09-06 11:42:31.0","-","정내과의원","614051","부산광역시 부산진구 양정1동 507번지 5호","-","부산광역시 부산진구 동평로 358 (양정동)","20001124","0","-","-","-","-","-","-","-","-","-","-","13","영업중","387996.477161768","188106.750204625","20180904114323","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","2","-","-","0","-","-","-","-","-","-","-","-","-","95.56","-","-","-","0","-"
"3300000","PHMA120173300024041100019","01_01_02_P","U","2018-09-06 11:42:31.0","-","신기영내과의원","-","부산광역시 동래구 사직동 47번지 26호","47859","부산광역시 동래구 석사로 5, 1층 (사직동)","20170817","0","-","-","-","-","-","-","20180904","-","-","-","03","폐업","387601.527515776","190704.888754907","20180904180453","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","2","-","-","0","-","-","-","-","-","-","-","-","-","200","-","-","-","0","-"
"3310000","PHMA120143310024041100018","01_01_02_P","U","2018-09-06 11:42:31.0","-","(의)손재림의료재단 부산손한의원","608080","부산광역시 남구 용당동 485번지","48520","부산광역시 남구 신선로 428 (용당동, 동명대학교 산학협력관 지하1층)","20141127","0","-","-","-","-","-","-","-","-","-","-","13","영업중","391752.63503200000","182949.11294300000","20180903095004","한의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","한의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","31.59","-","-","-","0","-"
"3310000","PHMA119883310024041100004","01_01_02_P","U","2018-09-06 11:42:31.0","-","혜인 한의원","-","부산광역시 남구 대연1동 330번지 14호","48497","부산광역시 남구 수영로 256 (대연동)","19880416","0","-","-","-","-","-","-","-","-","-","-","13","영업중","390909.31342300000","184093.59123800000","20180903142744","한의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","한의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","226","-","-","-","0","-"
"3310000","PHMA120123310024041100002","01_01_02_P","U","2018-09-06 11:42:31.0","-","위대한의원","608831","부산광역시 남구 용호3동 84번지 5호 휴렉스빌딩 2층","48577","부산광역시 남구 용호로 91 (용호동)","20120227","0","-","-","-","-","-","-","-","-","-","-","13","영업중","392526.258654163","182580.425142978","20180903170154","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","2","-","-","0","-","-","-","-","-","-","-","-","-","660","-","-","-","0","-"
"3320000","PHMA120103320045041100005","01_01_02_P","U","2018-09-06 11:42:31.0","-","삼성이비인후과의원","-","부산광역시 북구 화명동 2272번지 6호 신호타워","46525","부산광역시 북구 화명대로 35, 신호타워 3층 302호 (화명동)","20100302","0","-","-","-","-","-","-","-","-","-","-","13","영업중","383083.261333306","194729.94226911","20180904105301","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","117.47","-","-","-","0","-"
"3320000","PHMA119923320045041200004","01_01_02_P","U","2018-09-06 11:42:31.0","-","서울삼성비뇨기과의원","616820","부산광역시 북구 덕천동 400번지 17호","46576","부산광역시 북구 만덕대로 12, 3층 (덕천동)","19921001","0","-","-","-","-","-","-","20180903","-","-","-","03","폐업","382638.897640309","191943.192540446","20180903110553","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","129.36","-","-","-","0","-"
"3330000","PHMA120183330024041100028","01_01_02_P","U","2018-09-06 11:42:31.0","-","센텀삼성비뇨의학과의원","-","부산광역시 해운대구 우동 1124번지 26호 해운대센텀메디칼센터","48062","부산광역시 해운대구 해운대로 369, 해운대센텀메디칼센터 2층 (우동)","20180904","1","-","-","-","-","-","-","-","-","-","-","13","영업중","394690.127755749","187760.697320143","20180904090546","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","1","-","-","1","-","-","-","-","-","-","-","-","-","179","-","-","-","0","-"
"3330000","PHMA120143330024041100014","01_01_02_P","U","2018-09-06 11:42:31.0","-","여명부부한의원","612823","부산광역시 해운대구 우동 1072번지 71호 정운상가 2층","48063","부산광역시 해운대구 해운대로469번길 132, 2층 (우동, 정운상가)","20140529","0","-","-","-","-","-","-","-","-","-","-","13","영업중","395071.951802883","187562.455871982","20180904181338","한의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","한의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","167.32","-","-","-","0","-"
"3340000","PHMA119953340025041200007","01_01_02_P","U","2018-09-06 11:42:31.0","-","보람한의원","604845","부산광역시 사하구 장림2동 332번지 17호","49482","부산광역시 사하구 장림번영로 34 (장림동)","19950403","0","-","-","-","-","-","-","-","-","-","-","13","영업중","379507.637398059","177494.696304523","20180903114345","한의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","한의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","92.32","-","-","-","0","-"
"3350000","PHMA119993350024041100014","01_01_02_P","U","2018-09-06 11:42:31.0","-","공한의원","609800","부산광역시 금정구 구서1동 86-55","46243","부산광역시 금정구 구서로 2, 2층 (구서동, 정우빌딩)","19991202","0","-","-","-","-","-","-","-","-","-","-","13","영업중","390227.608898616","196179.952564097","20180903173005","한의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","한의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","125","-","-","-","0","-"
"3350000","PHMA120183350024041100006","01_01_02_P","U","2018-09-06 11:42:31.0","-","시온치과의원","-","부산광역시 금정구 서동 199번지 7호","46327","부산광역시 금정구 서동로 156, 2-3층 (서동)","20180426","0","-","-","-","-","-","-","-","-","-","-","13","영업중","391464.983246598","192630.11637288","20180904174336","치과의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","치과의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","272","-","-","-","0","-"
"3360000","PHMA120133360024041100001","01_01_02_P","U","2018-09-06 11:42:31.0","-","명지한의원","618814","부산광역시 강서구 명지동 3238번지","46765","부산광역시 강서구 명지오션시티11로 66 (명지동, G타워 4층 402-1호)","20130102","0","-","-","-","-","-","-","-","-","-","-","13","영업중","373495.79454295","177766.224356155","20180903181342","한의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","한의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","135.55","-","-","-","0","-"
"3380000","PHMA120183380023041100009","01_01_02_P","U","2018-09-06 11:42:31.0","-","원플란트치과의원","-","부산광역시 수영구 망미동 432번지 22호","48204","부산광역시 수영구 과정로 63, 3층 (망미동)","20180820","0","-","-","-","-","-","-","-","-","-","-","13","영업중","391875.674700353","188459.832662009","20180904132127","치과의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","치과의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","251.9","-","-","-","0","-"
"3250000","PHMA220073250021021200001","01_01_01_P","U","2018-09-06 11:42:30.0","-","심당요양병원","-","부산광역시 중구 영주1동 616-12","48923","부산광역시 중구 동광길 179 (영주동)","20071205","226","-","-","-","-","-","-","-","-","-","-","13","영업중","385636.203455006","180949.345181514","20180904174554","요양병원(일반요양병원)","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","요양병원(일반요양병원)","-","19","-","-","48","-","-","-","-","-","20180904","-","-","-","2926.22","-","-","-","-","0"
"3250000","PHMA220183250021021200001","01_01_01_P","U","2018-09-06 11:42:30.0","-","한길한방병원","-","부산광역시 중구 중앙동6가 12번지","48942","부산광역시 중구 중앙대로 26, 5,6,7층 (중앙동6가)","20130322","104","-","-","-","-","-","-","-","-","-","-","13","영업중","385666.280865059","179774.158396281","20180903175133","한방병원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","한방병원","-","18","-","-","32","-","-","-","-","-","20180903","-","-","-","3787.69","-","-","-","-","0"
"3250000","PHMA220163250021021200002","01_01_01_P","U","2018-09-06 11:42:30.0","-","의료법인 송산의료재단 굿힐링병원","-","부산광역시 중구 동광동3가 1번지 2호","48955","부산광역시 중구 대청로 132-1 (동광동3가)","20160415","80","-","-","-","-","-","-","-","-","-","-","13","영업중","385426.971851675","180059.93055316","20180904174523","병원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","병원","-","6","-","-","24","-","-","-","-","-","20180904","-","-","-","1469.06","-","-","-","-","0"
"3250000","PHMA220053250021021200001","01_01_01_P","U","2018-09-06 11:42:30.0","-","의료법인나라의료재단중앙나라요양병원","-","부산광역시 중구 중앙동3가 3번지","48931","부산광역시 중구 중앙대로 69 (중앙동3가)","20051215","340","-","-","-","-","-","-","-","-","-","-","13","영업중","385558.349492976","180201.36151316","20180904174453","요양병원(일반요양병원)","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","요양병원(일반요양병원)","-","23","-","-","66","-","-","-","-","-","20180904","-","-","-","6076.89","-","-","-","-","0"
"3290000","PHMA120103290024041100020","01_01_02_P","I","2018-08-31 23:59:59.0","-","이미지플러스치과교정과치과의원","614849","부산광역시 부산진구 부전동 485번지 9호 서면메디칼센터10층","47257","부산광역시 부산진구 가야대로 767 (부전동, 서면메디칼센터10층)","20100503","0","-","-","-","-","-","-","-","-","-","-","13","영업중","387295.35127500000","186563.88187800000","20170905183852","치과의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","치과의원","-","2","-","-","0","-","-","-","-","-","-","-","-","-","462.07","-","-","-","0","-"
"3290000","PHMA120103290024041100045","01_01_02_P","I","2018-08-31 23:59:59.0","-","엘제이비뇨의학과의원","614776","부산광역시 부산진구 부전동 257번지 3호 외 6필지 아이온시티빌딩 1302호","47286","부산광역시 부산진구 서면로 74, 1302호 (부전동, 아이온시티)","20101101","0","-","-","-","-","-","-","20180710","-","-","-","03","폐업","387537.52597500000","186476.33039500000","20180710094904","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","115.17","-","-","-","0","-"
"3290000","PHMA120103290024041100046","01_01_02_P","I","2018-08-31 23:59:59.0","-","(사)평화캠프 나눔과열림 치과의원","614851","부산광역시 부산진구 양정2동 94번지 11호 유한빌딩 9층","-","부산광역시 부산진구 연수로 18-1 (양정동,유한빌딩 9층)","20101123","0","-","-","-","-","-","-","-","-","-","-","13","영업중","388896.62865700000","188318.27043500000","20170928162033","치과의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","치과의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","173.02","-","-","-","0","-"
"3290000","PHMA120103290024041100022","01_01_02_P","I","2018-08-31 23:59:59.0","-","밝은햇살의원","614863","부산광역시 부산진구 전포3동 362번지 62호 (한웅인터빌 3층 일부)","-","부산광역시 부산진구 전포대로 162 (전포동,(한웅인터빌 3층 일부))","20100510","0","-","-","-","-","-","-","20110121","-","-","-","03","폐업","388258.73594000000","185817.22122000000","20120813160909","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","630.3","-","-","-","0","-"
"3290000","PHMA120103290024041100023","01_01_02_P","I","2018-08-31 23:59:59.0","-","삼성메디칼의원","614763","부산광역시 부산진구 전포동 33번지 9호 서면한신아파트 상가1동 303호","47236","부산광역시 부산진구 전포대로 294, 1동 303층 (전포동, 서면한신아파트)","20100512","0","-","-","-","-","-","-","-","-","-","-","13","영업중","388357.58569600000","187144.17817700000","20170905183852","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","153.33","-","-","-","0","-"
"3290000","PHMA120113290024041100008","01_01_02_P","I","2018-08-31 23:59:59.0","-","리쥬브의원","614776","부산광역시 부산진구 부전2동 257번지 3호 외 6필지 아이온시티빌딩 10층 1001호","47286","부산광역시 부산진구 서면로 74, 10층 1001호 (부전동, 아이온시티빌딩)","20110218","0","-","-","-","-","-","-","20161228","-","-","-","03","폐업","387537.52597500000","186476.33039500000","20161228105151","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","4","-","-","0","-","-","-","-","-","-","-","-","-","250.8","-","-","-","0","-"
"3290000","PHMA120113290024041100009","01_01_02_P","I","2018-08-31 23:59:59.0","-","아름수한의원","614849","부산광역시 부산진구 부전1동 485번지 13호","-","-","20110218","0","-","-","-","-","-","-","20111216","-","-","-","03","폐업","387282.221678","186552.096124","20111216140823","한의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","한의원","-","2","-","-","0","-","-","-","-","-","-","-","-","-","168.47","-","-","-","0","-"
"3290000","PHMA120113290024041100010","01_01_02_P","I","2018-08-31 23:59:59.0","-","리노보의원","614847","부산광역시 부산진구 부전2동 512번지 3호 정산빌딩 3층","47284","부산광역시 부산진구 부전로 71 (부전동, 정산빌딩 3층)","20110217","0","-","-","-","-","-","-","-","-","-","-","13","영업중","387210.13100600000","186384.35227900000","20170905183852","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","310.35","-","-","-","0","-"
"3290000","PHMA120113290024041100011","01_01_02_P","I","2018-08-31 23:59:59.0","-","H노블레스성형외과의원","614847","부산광역시 부산진구  516번지 18호 외 1필지(3,4층)","614847","부산광역시 부산진구 부전로66번길 34, 3,4층 (부전동)","20110302","0","-","-","-","-","-","-","20140430","-","-","-","03","폐업","387395.87908100000","186309.77111600000","20140508161716","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","425.88","-","-","-","0","-"
"3290000","PHMA120103290024041100036","01_01_02_P","I","2018-08-31 23:59:59.0","-","유로진남성의원","614733","부산광역시 부산진구 부전동 192번지 2호 쥬디스태화본관 3층","47295","부산광역시 부산진구 중앙대로 694, 쥬디스태화본관 3층 (부전동)","20100809","0","-","-","-","-","-","-","-","-","-","-","13","영업중","387678.30209600000","186203.40280700000","20170905183852","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","148.5","-","-","-","0","-"
"3290000","PHMA120103290024041100037","01_01_02_P","I","2018-08-31 23:59:59.0","-","열린의료소비자생활협동조합부속다빈한의원","614873","부산광역시 부산진구 초읍동 203번지 2호 2층","-","부산광역시 부산진구 성지로 112 (초읍동,2층)","20100816","0","-","-","-","-","-","-","20100907","-","-","-","03","폐업","386917.81052300000","189004.58251500000","20100907111123","한의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","한의원","-","1","-","-","0","-","-","-","-","-","-","-","-","-","174.78","-","-","-","0","-"
"3290000","PHMA120103290024041100038","01_01_02_P","I","2018-08-31 23:59:59.0","-","대한민국정형외과의원","614816","부산광역시 부산진구 당감2동 887번지 1호 백양메디컬 3, 10층","614817","부산광역시 부산진구 동평로 108-1, 3,10층 (당감동, 백양메디컬)","20100825","29","-","-","-","-","-","-","20141222","-","-","-","03","폐업","385990.94258800000","187380.55375600000","20141222103603","의원","051-123-1234","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","의원","-","1","-","-","9","-","-","-","-","-","-","-","-","-","785.93","-","-","-","0","-"
