"자치단체코드(신고지역)","인허가번호","서비스id","데이터갱신구분","데이터갱신일자","서비스id명","사업장명","지번우편번호","지번주소","도로명우편번호","도로명주소","인허가일자","폐업일자","휴업시작일자","휴업종료일자","재개업일자","영업상태","상세영업상태","좌표정보(x)","좌표정보(y)","최종수정일자","업태구분명","전화번호","가열기수","기공용레스수","기공용모터수","기공용컴프레서수","다른 겸업 여부","동공거리측정기수","렌즈절단기수","샌드기수","서베이어수","수리대상 의료기기의 유형","시력표수","아세틸렌수","안경세척기수","영업규모","원심주조기수","전기로수","정점굴절계기수","조제용연마기수","진공매몰기수","진동기수","초음파청소기수","총규모","총면적","측정의자수","치과용프레스수","트리머수","포셀린로수","표본렌즈수","핀덱스수"
"3390000","PHMG120223390023047000094","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","씨유부산벤처타워점","-","부산광역시 사상구 모라동 **** 부산벤처타워","46918","부산광역시 사상구 모라로 **, 부산벤처타워 *층 ***호 (모라동)","20220408","-","-","-","-","영업/정상","영업중","380700.827195332","189776.290986029","20220408180605","-","051-609-9015","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3350000","PHMG120223350024047000112","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","칠성","-","부산광역시 금정구 남산동 ***-* 정목빌딩","46223","부산광역시 금정구 남산로 **, 정목빌딩 *층 (남산동)","20220408","-","-","-","-","영업/정상","영업중","389920.667351233","198389.90766378","20220408131129","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3290000","PHMG120223290024047000171","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","미니스톱부산범천점","-","부산광역시 부산진구 범천동 ***-**","47354","부산광역시 부산진구 황령대로**번길 **, *층 (범천동)","20220408","-","-","-","-","영업/정상","영업중","387795.667002134","185026.900433009","20220408105603","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3380000","PHMG120223380023047000066","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","지에스(GS)25 부산광안로","-","부산광역시 수영구 광안동 ***-***","48293","부산광역시 수영구 무학로**번길 **, *층 (광안동)","20220408","-","-","-","-","영업/정상","영업중","392727.082587386","186589.725943126","20220408135634","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3270000","PHMG120223270022047000047","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","주식회사 지이티컴퍼니","-","부산광역시 동구 범일동 ***-***","48744","부산광역시 동구 조방로 **, **층 ****호 (범일동)","20220406","-","-","-","-","영업/정상","영업중","387867.211501678","184107.909838092","20220408101219","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3340000","PHMG120223340025047000127","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","클린팜","-","부산광역시 사하구 신평동 *** 신익강변타운아파트","49419","부산광역시 사하구 하신중앙로 ***, 상가동 ***호 (신평동, 신익강변타운아파트)","20190611","-","-","-","-","영업/정상","영업중","378987.610551773","179138.384163356","20220408094915","-","070-7573-4583","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3290000","PHMG120223290024047000172","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","다이소 당감점","-","부산광역시 부산진구 당감동 ***-*","47182","부산광역시 부산진구 백양대로**번길 **, *~*층 (당감동)","20220408","-","-","-","-","영업/정상","영업중","385972.421461608","187086.19628771","20220408144342","-","051-895-6105","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3390000","PHMG120223390023047000095","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","씨유모라베스티움점","-","부산광역시 사상구 모라동 ****-* 모라역 베스티움 더 시티","46918","부산광역시 사상구 모라로**번길 **, ***호 (모라동, 모라역 베스티움 더 시티)","20220408","-","-","-","-","영업/정상","영업중","380655.488070957","189719.812738758","20220408180614","-","051-302-3009","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3390000","PHMG120223390023047000094","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","씨유부산벤처타워점","-","부산광역시 사상구 모라동 **** 부산벤처타워","46918","부산광역시 사상구 모라로 **, 부산벤처타워 *층 ***호 (모라동)","20220408","-","-","-","-","영업/정상","영업중","380700.827195332","189776.290986029","20220408180605","-","051-609-9015","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3350000","PHMG120223350024047000112","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","칠성","-","부산광역시 금정구 남산동 ***-* 정목빌딩","46223","부산광역시 금정구 남산로 **, 정목빌딩 *층 (남산동)","20220408","-","-","-","-","영업/정상","영업중","389920.667351233","198389.90766378","20220408131129","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3290000","PHMG120223290024047000171","01_02_03_P","I","2022-04-10 00:22:34.0","의료기기판매(임대)업","미니스톱부산범천점","-","부산광역시 부산진구 범천동 ***-**","47354","부산광역시 부산진구 황령대로**번길 **, *층 (범천동)","20220408","-","-","-","-","영업/정상","영업중","387795.667002134","185026.900433009","20220408105603","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3310000","PHMG120183310024047000013","01_02_03_P","U","2022-04-09 02:40:00.0","의료기기판매(임대)업","주식회사 메디링크","-","부산광역시 남구 대연동 ***-*","48427","부산광역시 남구 황령대로***번길 **, ***호 (대연동)","20180326","-","-","-","-","영업/정상","영업중","390454.172940093","185432.148587308","20220407115754","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3340000","PHMG120223340025047000084","01_02_03_P","U","2022-04-09 02:40:00.0","의료기기판매(임대)업","세븐일레븐 부산장림더원점","-","부산광역시 사하구 장림동 ***-* 장림*차 동원아파트","49458","부산광역시 사하구 다대로***번길 **, 상가동 ***,***호 (장림동, 장림*차 동원아파트)","20220215","20220407","-","-","-","폐업","폐업","380424.256839995","177561.847321063","20220407111434","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3360000","PHMG120213360024047000046","01_02_03_P","U","2022-04-09 02:40:00.0","의료기기판매(임대)업","이마트 에브리데이 부산신호점","-","부산광역시 강서구 신호동 ***-*","46759","부산광역시 강서구 신호산단*로 **, *층 (신호동)","20210513","20220407","-","-","-","폐업","폐업","371213.53898747","177936.389459091","20220407132236","-","051-832-7575","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3310000","PHMG120213310024047000026","01_02_03_P","U","2022-04-09 02:40:00.0","의료기기판매(임대)업","세븐일레븐 부산용호힐탑점","-","부산광역시 남구 용호동 ***-* 힐탑탑플레이스","48515","부산광역시 남구 분포로 ***, 힐탑탑플레이스 A동 *층 *호 (용호동)","20210512","20220406","-","-","-","폐업","폐업","392515.689667818","183481.94111857","20220407093818","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3370000","PHMG120223370022047000078","01_02_03_P","I","2022-04-09 00:22:34.0","의료기기판매(임대)업","미니스톱 연산점","-","부산광역시 연제구 연산동 ***-**","47520","부산광역시 연제구 반송로 **-**(연산동)","20220407","-","-","-","-","영업/정상","영업중","389596.205388063","189553.044871679","20220407103656","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3370000","PHMG120223370022047000079","01_02_03_P","I","2022-04-09 00:22:34.0","의료기기판매(임대)업","라라샵","-","부산광역시 연제구 연산동 ***-*","47596","부산광역시 연제구 월드컵대로***번길 **, *층 (연산동)","20220407","-","-","-","-","영업/정상","영업중","389515.787420242","189270.353139944","20220407103806","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3370000","PHMG120223370022047000080","01_02_03_P","I","2022-04-09 00:22:34.0","의료기기판매(임대)업","썬메디텍","-","부산광역시 연제구 연산동 ****-*","47540","부산광역시 연제구 거제천로***번길 **, ***호 (연산동)","20220407","-","-","-","-","영업/정상","영업중","389364.836732853","189362.447271269","20220407103921","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3250000","PHMG120223250021047000038","01_02_03_P","I","2022-04-09 00:22:34.0","의료기기판매(임대)업","미니스톱 부산부평시장점","-","부산광역시 중구 부평동*가 **-*","48977","부산광역시 중구 중구로**번길 **, *층 (부평동*가)","20220407","-","-","-","-","영업/정상","영업중","384633.051413569","179801.25290325","20220407135215","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3340000","PHMG120223340025047000125","01_02_03_P","I","2022-04-09 00:22:34.0","의료기기판매(임대)업","세븐일레븐 부산장림더원점","-","부산광역시 사하구 장림동 ***-* 장림*차 동원아파트","49458","부산광역시 사하구 다대로***번길 **, 상가동 ***,***호 (장림동, 장림*차 동원아파트)","20220407","-","-","-","-","영업/정상","영업중","380424.256839995","177561.847321063","20220407151655","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3340000","PHMG120223340025047000126","01_02_03_P","I","2022-04-09 00:22:34.0","의료기기판매(임대)업","세븐일레븐 부산하단가락점","-","부산광역시 사하구 하단동 ***-*","49306","부산광역시 사하구 하신번영로 ***(하단동)","20220407","-","-","-","-","영업/정상","영업중","378540.045651621","180614.411626509","20220407150544","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3330000","PHMG120223330024047000105","01_02_03_P","I","2022-04-09 00:22:34.0","의료기기판매(임대)업","씨엘메디칼","-","부산광역시 해운대구 좌동 ****-* 신도시시장","48108","부산광역시 해운대구 좌동로 ***, 신도시시장 ***호 (좌동)","20220406","-","-","-","-","영업/정상","영업중","398628.503470003","188364.542636541","20220407093257","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3310000","PHMG120223310024047000091","01_02_03_P","I","2022-04-09 00:22:34.0","의료기기판매(임대)업","세븐일레븐 부산용호힐탑점","-","부산광역시 남구 용호동 ***-* 힐탑탑플레이스","48515","부산광역시 남구 분포로 ***, 힐탑탑플레이스 A동 *층 ***호 (용호동)","20220407","-","-","-","-","영업/정상","영업중","392515.689667818","183481.94111857","20220407120012","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3260000","PHMG120093260022047000004","01_02_03_P","U","2022-04-08 02:40:00.0","의료기기판매(임대)업","(주)에스원","602816","부산광역시 서구 부민동*가 **번지 *호","-","부산광역시 서구 구덕로 *** (부민동*가)","20090603","20220406","-","-","-","폐업","폐업","384131.793970006","180183.255871028","20220406134812","-","247-6140","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3270000","PHMG120123270022047000012","01_02_03_P","U","2022-04-08 02:40:00.0","의료기기판매(임대)업","호림메디칼","-","부산광역시 동구 초량동 ****-*","48730","부산광역시 동구 중앙대로***번길 *, *층 ***호 (초량동)","20120625","-","-","-","-","영업/정상","영업중","386287.60720363","182309.524712919","20220406095853","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3360000","PHMG120133360024047000004","01_02_03_P","U","2022-04-08 02:40:00.0","의료기기판매(임대)업","(주)에스원 부산강서지사","618808","부산광역시 강서구 대저*동 ****번지 **호","46720","부산광역시 강서구 공항로***번길 * (대저*동)","20130325","-","-","-","-","영업/정상","영업중","378350.852241026","187974.953351118","20220406164321","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3390000","PHMG120093390023047000013","01_02_03_P","U","2022-04-08 02:40:00.0","의료기기판매(임대)업","(주)에스원서부산지사","617704","부산광역시 사상구 감전동 ***번지 *호","46986","부산광역시 사상구 대동로 *** (감전동, LS산전빌딩*층)","20090605","-","-","-","-","영업/정상","영업중","380978.438967999","185572.036119973","20220406160058","-","051-325-1381","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3280000","PHMG120213280023047000011","01_02_03_P","U","2022-04-08 02:40:00.0","의료기기판매(임대)업","다인아울렛","-","부산광역시 영도구 영선동*가 ** 전홍빌딩","49047","부산광역시 영도구 절영로 ***, 전홍빌딩 *층 (영선동*가)","20190514","-","-","-","-","제외/삭제/전출","전출","385994.249145487","178226.007589223","20220406100749","-","051-265-1201","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3280000","PHMG120213280023047000011","01_02_03_P","U","2022-04-08 02:40:00.0","의료기기판매(임대)업","다인아울렛","-","부산광역시 영도구 영선동*가 ** 전홍빌딩","49047","부산광역시 영도구 절영로 ***, 전홍빌딩 *층 (영선동*가)","20190514","-","-","-","-","제외/삭제/전출","전출","385994.249145487","178226.007589223","20220406100749","-","051-265-1201","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3360000","PHMG120213360024047000023","01_02_03_P","U","2022-04-08 02:40:00.0","의료기기판매(임대)업","GS더프레시 명지국제점","-","부산광역시 강서구 명지동 ****-*","46773","부산광역시 강서구 명지국제*로 ***, *층 (명지동)","20210430","20220406","-","-","-","폐업","폐업","375045.300140391","179383.163196363","20220406142738","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3360000","PHMG120213360024047000023","01_02_03_P","U","2022-04-08 02:40:00.0","의료기기판매(임대)업","GS더프레시 명지국제점","-","부산광역시 강서구 명지동 ****-*","46773","부산광역시 강서구 명지국제*로 ***, *층 (명지동)","20210430","20220406","-","-","-","폐업","폐업","375045.300140391","179383.163196363","20220406142738","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3390000","PHMG120223390023047000093","01_02_03_P","I","2022-04-08 00:22:34.0","의료기기판매(임대)업","세븐일레븐 부산학장미진점","-","부산광역시 사상구 학장동 ***-**","47023","부산광역시 사상구 대동로 ***, *층 (학장동)","20220406","-","-","-","-","영업/정상","영업중","380766.660837635","184512.588314428","20220406101847","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3290000","PHMG120223290024047000170","01_02_03_P","I","2022-04-08 00:22:34.0","의료기기판매(임대)업","민힐링케어몰","-","부산광역시 부산진구 연지동 **-* 연지에코팰리스","47123","부산광역시 부산진구 동평로 ***, 연지에코팰리스 ***호 (연지동)","20220406","-","-","-","-","영업/정상","영업중","387410.241365521","187764.526038835","20220406112418","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3300000","PHMG120223300024047000101","01_02_03_P","I","2022-04-08 00:22:34.0","의료기기판매(임대)업","솔(SOL)메디","-","부산광역시 동래구 온천동 ***-** 좋은빌","47713","부산광역시 동래구 차밭골로**번길 **-*, ***호 (온천동, 좋은빌)","20220406","-","-","-","-","영업/정상","영업중","389169.10816969","192624.597162275","20220406161310","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3260000","PHMG120223260022047000032","01_02_03_P","I","2022-04-08 00:22:34.0","의료기기판매(임대)업","미니스톱 부산대영점","-","부산광역시 서구 동대신동*가 **-*","49215","부산광역시 서구 보수대로 ***(동대신동*가)","20220406","-","-","-","-","영업/정상","영업중","384182.383489516","181231.787951429","20220406115727","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3290000","PHMG120223290024047000168","01_02_03_P","I","2022-04-08 00:22:34.0","의료기기판매(임대)업","미니스톱부암역점","-","부산광역시 부산진구 범천동 ****-*","47278","부산광역시 부산진구 가야대로 ***, *층 (범천동)","20220405","-","-","-","-","영업/정상","영업중","386673.610476402","186109.369768801","20220406112327","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3290000","PHMG120223290024047000167","01_02_03_P","I","2022-04-08 00:22:34.0","의료기기판매(임대)업","이니플","-","부산광역시 부산진구 양정동 ***-* 양정 삼한골든뷰","47213","부산광역시 부산진구 동평로 ***, ****호 (양정동, 양정 삼한골든뷰)","20220405","-","-","-","-","영업/정상","영업중","388500.609119262","187969.350830011","20220406112310","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3380000","PHMG120223380023047000065","01_02_03_P","I","2022-04-08 00:22:34.0","의료기기판매(임대)업","와이엠몰","-","-","48222","부산광역시 수영구 수영로***번길 **, ***동 ***호 (수영동, 현대아파트)","20220405","-","-","-","-","영업/정상","영업중","393343.999208335","187474.566088472","20220406142047","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3290000","PHMG120223290024047000169","01_02_03_P","I","2022-04-08 00:22:34.0","의료기기판매(임대)업","미니스톱 초읍점","-","부산광역시 부산진구 초읍동 ***-**","47124","부산광역시 부산진구 새싹로***번길 **, *층 (초읍동)","20220405","-","-","-","-","영업/정상","영업중","386501.282456518","188769.145395714","20220406112357","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3290000","PHMG120223290024047000166","01_02_03_P","U","2022-04-07 02:40:00.0","의료기기판매(임대)업","뉴톤보청기서면지사","-","부산광역시 부산진구 전포동 ***-* 한신밴","47247","부산광역시 부산진구 동천로 ***, 한신밴 지하*층 ***-*호 (전포동)","20200513","-","-","-","-","영업/정상","영업중","387869.134317928","186381.28184674","20220405094217","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3290000","PHMG120223290024047000166","01_02_03_P","U","2022-04-07 02:40:00.0","의료기기판매(임대)업","뉴톤보청기서면지사","-","부산광역시 부산진구 전포동 ***-* 한신밴","47247","부산광역시 부산진구 동천로 ***, 한신밴 지하*층 ***-*호 (전포동)","20200513","-","-","-","-","영업/정상","영업중","387869.134317928","186381.28184674","20220405094217","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3260000","PHMG120223260022047000031","01_02_03_P","I","2022-04-07 00:22:34.0","의료기기판매(임대)업","미니스톱 토성점","-","부산광역시 서구 토성동*가 **-*","49252","부산광역시 서구 초장로 **, *층 (토성동*가)","20220405","-","-","-","-","영업/정상","영업중","384245.054738956","179366.253540841","20220405104126","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3360000","PHMG120223360024047000081","01_02_03_P","I","2022-04-07 00:22:34.0","의료기기판매(임대)업","세븐일레븐부산강서승임점","-","부산광역시 강서구 생곡동 ****-*","46729","부산광역시 강서구 생곡산단*로*번길 *, *층 일부호 (생곡동)","20220404","-","-","-","-","영업/정상","영업중","371773.22727068","183492.64964413","20220405135308","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3350000","PHMG120223350024047000111","01_02_03_P","I","2022-04-07 00:22:34.0","의료기기판매(임대)업","미니스톱 구서금강점","-","부산광역시 금정구 구서동 ***-* 새롬빌딩","46230","부산광역시 금정구 금강로 ***, 새롬빌딩 *층 (구서동)","20220404","-","-","-","-","영업/정상","영업중","389962.72718","197013.417842866","20220405095109","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3350000","PHMG120223350024047000110","01_02_03_P","I","2022-04-07 00:22:34.0","의료기기판매(임대)업","미니스톱 부산대정문점","-","부산광역시 금정구 장전동 ***-*","46288","부산광역시 금정구 부산대학로**번길 *, *층 (장전동)","20220404","-","-","-","-","영업/정상","영업중","389688.129207124","194489.743495339","20220405094936","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3350000","PHMG120223350024047000109","01_02_03_P","U","2022-04-06 02:40:00.0","의료기기판매(임대)업","씨유 부산대행운점","-","부산광역시 금정구 장전동 ***-**","46286","부산광역시 금정구 금강로***번길 *, *층 (장전동)","20220331","-","-","-","-","영업/정상","영업중","389778.890482428","194651.812458955","20220404132701","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3350000","PHMG120223350024047000108","01_02_03_P","U","2022-04-06 02:40:00.0","의료기기판매(임대)업","CU부곡쌍용점","-","부산광역시 금정구 부곡동 ***-* 부곡쌍용아파트","46276","부산광역시 금정구 수림로 **, 상가동 ***호 (부곡동, 부곡쌍용아파트)","20220330","-","-","-","-","영업/정상","영업중","390130.993591387","195312.211870563","20220404132644","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
